ticker,name,exchange,country,region,currency,sector,industry,asset_type,is_active,market_cap,price,avg_volume_30d,avg_volume_90d,data_source,last_updated,isin,figi,cusip,ipo_date,shares_outstanding,free_float,primary_listing,adr_flag,otc_flag,etf_flag,fund_flag,preferred_flag,warrant_flag,spac_flag,duplicate_group,dollar_volume_90d,universe_validation_status,universe_validation_date,stage1_status,stage1_primary_reason,stage1_all_reasons,yf_success,yf_error,financial_data_date,quote_type,sector_yf,industry_yf,country_yf,revenue_ttm,operating_margin,fcf_margin,net_debt_to_ebitda,shares_dilution_3y,revenue_growth_1y,gross_margin,net_margin,ebitda,free_cash_flow,total_debt,cash,net_debt,debt_to_equity,current_ratio,interest_coverage,pe_ratio,forward_pe,ev_ebitda,price_sales,fcf_yield,shares_outstanding_fund,float_shares,market_cap_yf,special_case,data_completeness_score,revenue_growth_3y,stage2_status,stage2_primary_reason,stage2_all_reasons
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,1847228544.0,7.97,6990904.0,6990904.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,55717504.88,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,United States,509864000.0,-1.23389,0.1144503710793466,194.33554388284253,,0.159,0.61275,0.32431,214822000.0,58354124.0,97668702208.0,55921152000.0,41747550208.0,110.673,6.951,,11.8529415,7.627737,203.032,3.6638951,0.0312373496336515,231772715.0,226729341.0,1868088192.0,none,92.31,,WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,USA,North America,USD,Utilities,Utilities - Regulated Electric,common_stock,True,70265724928.0,129.14,3806220.0,3806220.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,491535250.8,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Utilities,Utilities - Regulated Electric,United States,22432999424.0,0.23738001,-0.3099652370409654,5.611202381648522,,0.102,0.47243,0.16289,9141000192.0,-6953449984.0,51808002048.0,516000000.0,51292002048.0,157.099,0.526,,18.752958,18.493015,13.285,3.0747645,-0.1008094248240338,544105032.0,543288798.0,68976189440.0,none,92.31,,WATCHLIST,FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,1682451840.0,28.29,1049271.0,1049271.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,29683876.59,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,United States,66048000.0,-5.30343,-4.045875726744186,1.4912688560523228,,1.377,0.0,0.0,-470265984.0,-267222000.0,35745000.0,737038016.0,-701293016.0,3.223,14.187,,,-5.971709,-1.979,24.707802,-0.1637489111103685,59471609.0,53130151.0,1631900928.0,none,92.31,,WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,USA,North America,USD,Real Estate,REIT - Mortgage,common_stock,True,11674440704.0,10.17,17067223.0,17067223.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,173573657.91,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Real Estate,REIT - Mortgage,United States,1604999936.0,1.29825,,,,,1.0,0.91713,,,88055996416.0,18314999808.0,69740996608.0,722.896,0.19,,7.8984375,6.7227,,7.2308817,,1147929272.0,1140375897.0,11605564416.0,REIT,61.54,,WATCHLIST,DATA_COMPLETENESS_WATCHLIST_RANGE,DATA_COMPLETENESS_WATCHLIST_RANGE|MISSING_FCF_MARGIN|MISSING_NET_DEBT_TO_EBITDA|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Medical Devices,common_stock,True,1345575552.0,9.89,1501592.0,1501592.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,14850744.88,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Medical Devices,United States,3286774016.0,0.0067000003,0.0815083819866732,3.351726965644138,,0.054,0.20396,-0.024230001,582608000.0,267899632.0,2000706944.0,47964000.0,1952742944.0,132.105,0.925,,,8.206899,5.569,0.39945626,0.2040483218287395,136054152.0,85690107.0,1312922496.0,none,92.31,,WATCHLIST,DEBT_WATCHLIST_RANGE,DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Software - Infrastructure,common_stock,True,515125536.0,3.84,1597003.0,1597003.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,6132491.52,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE,True,,2026-06-09,EQUITY,Technology,Software - Infrastructure,United States,432924992.0,0.07643,0.0838485295854668,3.18205529047174,,0.066,0.54633,-0.07005,81316000.0,36300124.0,289967008.0,31215000.0,258752008.0,59.765,1.094,,,20.051949,9.52,1.1960697,0.0701033787627425,134147277.0,125349945.0,517808480.0,none,92.31,,WATCHLIST,DEBT_WATCHLIST_RANGE,DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Software - Infrastructure,common_stock,True,21708957696.0,149.32,5589768.0,5589768.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,834664157.76,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Technology,Software - Infrastructure,United States,4266646016.0,0.10611,0.164232839886945,4.3046035145170825,,0.058,0.58284,0.102,1146972032.0,700723392.0,5867704832.0,930444992.0,4937259840.0,119.534,2.057,,50.487545,19.808933,22.287,4.8342032,0.0339730937688904,145385451.0,142054670.0,20625833984.0,none,92.31,,WATCHLIST,DEBT_WATCHLIST_RANGE,DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AKTS,"Aktis Oncology, Inc. - Common stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,1043085504.0,18.87,322225.0,322225.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,6080385.75,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,United States,8277000.0,-7.0362597,,6.865237368078176,,1.23,0.0,0.0,-76750000.0,,11577000.0,538483968.0,-526906968.0,2.287,19.487,,,-9.529215,-6.797,126.69,,53404618.0,28153357.0,1048613120.0,none,76.92,,WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_FCF_MARGIN|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALGT,Allegiant Travel Company - Common Stock,NASDAQ,USA,North America,USD,Industrials,Airlines,common_stock,True,2260719104.0,84.12,557387.0,557387.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,46887394.440000005,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Industrials,Airlines,United States,2639937024.0,0.14866,-0.0104713194855363,2.7756686663671197,,0.048,0.23235,-0.012999999,342846016.0,-27643624.0,1853789952.0,902163008.0,951626944.0,169.13,0.906,,,8.202611,7.161,0.8379273,-0.0124966923367757,26874928.0,16426475.0,2212075264.0,none,92.31,,WATCHLIST,FCF_MARGIN_WATCHLIST_RANGE,FCF_MARGIN_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALKS,Alkermes plc - Ordinary Shares,NASDAQ,USA,North America,USD,Healthcare,Drug Manufacturers - Specialty & Generic,common_stock,True,7133724672.0,42.8,2366741.0,2366741.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,101296514.8,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,1562300032.0,-0.0019200001,0.0899645581009627,3.840140946428434,,0.282,0.87447,0.09774999,278583008.0,140551632.0,1581660032.0,511862016.0,1069798016.0,90.302,2.266,,47.166668,18.026548,29.238,4.528828,0.0198648644761554,166675807.0,154075116.0,7075388416.0,none,92.31,,WATCHLIST,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
