country,total_rows,main_ranking,partial_comparability,review_required,blocked,no_adapter
AT,17,0,6,7,4,0
GB,1,0,0,0,1,0
LU,26,0,0,0,0,26
US,531,0,260,24,247,0
USA,536,318,107,93,18,0
