Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
JANT,3057,100,59.31,100,25.66,44.24,3057,0
BMAY,3035,100,58.43,100,18.43,47.58,3035,0
IZRL,3028,491,32.34,15,30.00,31.50,3028,0
APRT,3027,100,70.37,100,26.72,46.03,3027,0
PBOC,2995,100,56.42,100,11.91,30.62,2995,0
PBDE,2970,100,56.93,100,12.02,30.93,2970,0
TDAX,2964,100,32.15,20,24.80,25.00,2626,338
DQJN,2961,100,53.36,100,11.26,29.09,2961,0
CBOX,2946,100,133.85,50,100.00,100.83,2946,0
PBJL,2946,100,38.44,100,12.36,31.24,2946,0
PBFB,2933,100,58.72,100,12.40,31.89,2933,0
UNHW,2927,200,54.77,25,52.55,53.31,2927,0
KJUL,2925,100,41.77,100,13.40,33.90,2925,0
IYLD,2914,53,22.39,100,16.28,22.15,2914,0
YSEP,2910,100,50.91,100,15.44,27.71,2910,0
SATO,2909,100,25.43,100,9.66,16.69,2909,0
MBCE,2903,100,73.51,100,15.56,39.85,2903,0
TSEP,2875,100,47.70,100,10.13,25.96,2875,0
FDEV,2869,100,48.54,2,35.45,36.12,2869,0
TYA,2866,100,16.78,100,7.52,12.74,2866,0
XEMD,2862,100,52.19,39,44.82,44.81,2862,0
MSFW,2841,100,31.97,500,25.40,25.48,2841,0
MPRO,2830,100,60.28,100,29.43,32.87,2830,0
PSFF,2827,100,40.01,100,16.12,34.37,2827,0
IBMQ,2825,160,27.30,310,24.13,25.55,2825,0
CBXO,2815,100,33.73,100,12.91,22.04,2815,0
QHY,2807,100,70.24,100,26.67,45.96,2807,0
NELS,2804,100,52.89,100,11.16,28.85,2804,0
ZDEK,2794,100,48.59,100,10.26,26.45,2794,0
GOLY,2782,100,27.81,100,23.91,26.08,2782,0
GSEW,2770,100,102.00,100,88.31,95.50,2770,0
BUFG,2751,100,36.07,100,11.40,29.44,2682,69
AMZO,2744,800,17.28,1,16.90,17.26,2744,0
EUVX,2721,1000,23.70,1022,20.00,20.20,2721,0
FUSD,2704,100,29.78,100,20.66,25.11,2704,0
ZECP,2694,100,50.96,100,14.71,37.97,2694,0
SMDV,2669,100,99.80,100,56.34,76.92,2669,0
PBP,2666,11,23.90,100,17.68,22.99,2666,0
EPRF,2626,100,30.64,30,16.62,16.69,2626,0
ZJUL,2621,100,36.81,100,11.62,30.01,2621,0
SHYD,2609,100,25.44,100,19.50,22.83,2609,0
DLAG,2600,100,60.83,100,30.08,33.11,2600,0
SECT,2595,100,80.59,100,63.45,71.66,2305,290
JULT,2508,100,64.37,100,27.84,47.96,2508,0
AESR,2484,100,37.46,100,7.91,20.35,2484,0
PBSE,2474,100,56.82,100,11.99,30.84,2474,0
ARCX,2472,500,13.76,400,13.47,13.58,2472,0
PBNV,2469,100,57.01,100,12.04,30.96,2469,0
LQDW,2467,100,29.58,211,23.80,23.83,2467,0
DOJE,2466,5600,7.30,5600,7.19,7.12,2466,0
BJUL,2463,100,69.33,200,54.39,54.56,2463,0
DJAN,2459,100,61.26,100,17.68,45.65,2459,0
PBMY,2454,100,57.37,100,12.11,31.15,2454,0
PJAN,2454,100,57.81,100,46.54,49.66,2454,0
TSEG,2452,900,8.39,100,3.16,8.08,2452,0
PBAU,2428,100,57.84,100,12.42,31.39,2428,0
PMJN,2427,100,49.02,100,10.34,26.74,2427,0
WDNA,2415,100,39.07,100,13.57,21.18,2415,0
TLTP,2382,21,22.97,1,20.60,20.76,2382,0
XJH,2382,100,67.14,100,37.90,51.83,2382,0
SNOV,2370,100,49.83,100,10.51,27.12,2370,0
PBJA,2367,100,59.43,100,12.54,32.26,2367,0
EDEN,2352,100,147.00,2,95.00,114.45,2352,0
GMAY,2349,100,47.26,100,38.94,43.17,2349,0
PRNT,2348,2,25.18,100,15.50,24.61,2348,0
OVF,2345,100,58.94,1,31.00,32.11,2345,0
SECU,2345,310,52.63,310,46.63,49.73,2197,148
XMAR,2341,100,78.64,100,16.59,42.78,2341,0
STLU,2326,4000,23.49,4000,22.76,22.53,2326,0
ITWO,2317,100,85.12,1,46.00,46.52,2317,0
FCLD,2302,100,50.22,100,19.77,38.95,2116,186
CRDX,2298,100,9.90,100,9.60,9.56,2298,0
EYLD,2291,3,48.18,100,39.38,46.90,2291,0
LKOR,2283,100,54.74,100,29.99,41.59,2283,0
GOP,2252,15,44.50,1,44.00,44.27,2252,0
GOOP,2223,100,55.12,1,40.96,41.36,2223,0
IBHL,2222,100,34.75,100,17.34,25.42,2222,0
ZVOL,2205,60,8.45,100,6.44,8.40,2008,197
PAYR,2203,100,99.53,25,51.15,54.14,2203,0
FDEM,2197,83,36.87,100,32.10,36.31,2197,0
WDRN,2185,100,37.70,10,29.50,29.79,2185,0
QSPT,2147,100,46.62,100,13.46,34.72,2147,0
IETC,2142,1,108.00,5,104.26,105.93,2142,0
NODE,2129,100,64.88,100,36.00,42.17,2129,0
DDV,2101,100,46.64,10,23.67,25.41,2101,0
KOCT,2100,100,50.22,100,14.51,37.43,2100,0
FFOG,2083,100,80.11,100,23.57,50.29,2083,0
DDTL,2076,100,40.46,100,16.28,22.04,2076,0
XSHQ,2067,100,60.49,100,36.62,48.36,2067,0
RACK,2024,26,54.17,5,48.00,49.13,2024,0
GHYG,2012,100,60.09,100,32.54,45.15,2012,0
CPNX,2010,72,19.36,100,14.12,19.36,2010,0
DMAX,2002,100,50.32,100,10.62,27.38,1302,700
JANH,2002,100,45.53,100,9.61,24.78,2002,0
DDFA,2000,100,32.19,100,9.48,20.19,2000,0
EMJN,2000,100,42.40,100,8.95,22.83,2000,0
RSSX,1997,100,24.72,100,24.16,24.32,1997,0
FDRV,1994,100,35.56,100,7.69,19.35,1994,0
BUFT,1989,100,47.60,100,10.05,25.91,1989,0
PSFJ,1959,100,64.50,100,13.61,35.24,1959,0
PIT,1958,100,106.69,100,61.28,67.25,1958,0
TTMX,1947,300,15.79,300,14.84,15.40,1947,0
MIG,1939,100,32.54,310,18.23,21.30,1939,0
PDEC,1928,100,61.81,100,34.54,46.07,1928,0
TLTX,1875,1,24.81,10,22.43,22.48,1875,0
SCMC,1866,100,38.28,100,14.54,25.00,1866,0
SEIM,1864,100,87.14,100,50.16,54.40,1864,0
LCAP,1863,100,61.40,100,12.96,33.45,1863,0
KRWX,1861,100,33.07,460,17.57,17.86,1858,3
DUSA,1845,100,63.97,100,53.36,56.97,1845,0
MIC,1842,100,20.04,100,11.76,16.33,1842,0
SEIV,1832,100,55.88,60,47.03,48.06,1832,0
JAJL,1826,100,36.97,100,20.55,29.98,1826,0
UPSD,1800,100,43.94,100,16.69,28.78,1800,0
BBRE,1793,100,121.67,100,95.79,108.37,1793,0
HTUS,1763,100,59.21,1,37.44,44.12,1763,0
XOVL,1758,200,23.80,12592,23.08,23.65,1758,0
KWT,1753,317,36.90,3,35.00,36.69,1753,0
PMAR,1730,100,55.76,100,22.67,47.98,1730,0
TEST,1729,100,67.37,100,26.47,45.54,1729,0
EALT,1726,100,54.96,100,20.88,35.98,1726,0
SPYH,1716,100,85.75,1,54.91,56.04,1716,0
RTRE,1649,100,45.65,310,21.82,24.89,1649,0
NANC,1615,27,51.00,1,50.60,50.67,1615,0
PAAU,1608,100,14.78,100,8.86,11.68,1608,0
AVRY,1603,100,45.80,100,9.67,24.92,1603,0
PAWZ,1603,1,48.99,100,18.91,48.65,1603,0
STOT,1574,100,54.60,100,41.55,46.90,1574,0
AAPX,1569,60,36.78,1300,36.68,36.67,1569,0
PSDM,1565,79,54.49,160,48.15,50.96,1565,0
URAN,1557,100,55.12,1,38.19,38.60,1557,0
DIVN,1549,100,54.10,100,11.42,29.47,1549,0
CQTM,1525,5,31.30,391,29.75,29.53,1492,33
IDUB,1523,100,50.76,100,10.69,27.72,1523,0
AFIF,1518,100,11.56,30,9.35,9.41,1518,0
VFVA,1512,100,194.60,3,148.50,151.11,1512,0
IDJN,1500,100,45.75,100,9.65,25.12,1500,0
NUMV,1469,100,54.04,100,17.30,44.06,1469,0
FMAY,1461,100,63.32,100,52.79,56.42,1461,0
XISE,1453,100,55.77,100,11.77,30.34,1453,0
REGL,1452,100,103.30,100,81.33,92.18,1396,56
QCAP,1450,100,45.64,100,9.63,24.89,1450,0
OCTW,1445,100,47.77,100,28.86,41.03,1445,0
EUHY,1427,102,54.56,100,38.29,53.77,1427,0
VDV,1418,100,141.20,225,73.00,76.97,1418,0
DOCT,1407,100,62.84,100,18.14,46.79,1407,0
EAOM,1406,100,57.37,100,22.17,31.29,1406,0
TRPA,1406,100,59.51,100,28.57,38.87,1406,0
AVGW,1403,302,39.80,3,38.50,39.03,1403,0
APHU,1402,300,28.30,300,27.27,27.57,1402,0
DDFF,1363,100,36.68,100,7.75,19.99,1363,0
FFEB,1322,100,68.75,100,57.27,61.21,1322,0
VDIG,1292,100,116.97,100,46.50,63.60,1291,1
GROZ,1290,100,58.76,100,12.40,32.05,1290,0
JUDB,1286,100,47.60,100,10.05,25.93,1286,0
DEFR,1280,100,34.98,100,19.56,26.74,1280,0
GLDW,1280,21,43.15,1,42.37,42.54,1280,0
QDEC,1258,100,43.53,100,14.02,35.51,1258,0
DRGN,1254,1,36.29,193,34.27,36.00,1254,0
BDEC,1247,100,65.61,100,41.30,53.40,1247,0
QETH,1241,24000,18.20,14000,18.08,17.81,1241,0
DUBS,1233,100,63.92,100,24.28,41.84,1233,0
NULC,1218,100,99.73,100,21.04,54.33,1218,0
EVUS,1217,100,47.28,100,13.92,35.58,1177,40
NJAN,1216,100,76.21,100,43.03,58.89,1216,0
FAPR,1206,100,50.06,100,43.93,46.90,1206,0
PBFR,1205,100,56.35,100,11.89,30.71,1205,0
GSEP,1200,100,64.63,100,38.46,41.07,1200,0
GTIP,1196,100,62.48,100,35.34,48.30,1196,0
DURA,1193,100,50.29,100,14.54,37.52,1193,0
XMPT,1183,100,22.34,100,22.18,22.27,1183,0
DMAY,1180,100,57.99,100,32.50,47.28,1180,0
KCOP,1164,5,23.02,15,22.50,22.74,1164,0
OVT,1159,20,25.23,430,21.78,21.84,1159,0
JUNM,1151,100,64.47,100,13.61,35.11,1151,0
NXPG,1150,100,17.82,1,11.30,11.68,1150,0
QMMY,1138,100,48.32,100,10.25,26.30,1038,100
BUFF,1135,100,59.31,100,46.70,52.84,1135,0
UMAR,1130,100,56.25,100,16.50,42.35,1130,0
ZFEB,1120,100,47.79,100,10.09,26.02,1120,0
OBND,1117,100,39.29,310,22.65,25.68,1117,0
TMFE,1110,100,55.10,100,11.79,29.96,1110,0
ETNG,1109,100,17.97,20,13.00,13.81,1109,0
FBUF,1102,100,59.69,100,12.60,32.50,1102,0
GDEC,1101,100,73.32,100,15.47,39.92,1101,0
DOGG,1099,100,28.17,100,16.57,21.57,872,227
DMAR,1098,100,55.05,100,17.37,44.87,1098,0
LOHA,1094,2,25.95,7,25.00,25.52,1094,0
BJAN,1091,100,76.58,100,43.23,59.14,1091,0
BAMD,1087,100,61.09,100,12.89,33.29,1087,0
ONTX,1085,100,40.10,100,8.66,21.88,1085,0
MAYW,1083,100,48.87,100,16.56,34.88,1083,0
TLTI,1070,100,56.71,100,34.49,45.33,1070,0
FMAG,1056,100,44.67,100,27.43,36.42,1056,0
TSOL,1055,30000,8.07,30000,8.01,7.92,1055,0
PNOV,1049,100,47.49,100,20.85,44.51,1049,0
TOLL,1045,100,75.32,100,16.07,41.04,1045,0
TSLP,1039,100,24.48,1,18.16,18.94,1039,0
POCT,1037,100,54.20,100,41.72,46.59,1037,0
DRSK,1021,100,40.35,100,19.55,28.79,1021,0
DJUN,1002,100,60.62,100,38.20,49.44,1002,0
NMAR,1002,100,59.03,100,12.46,32.08,703,299
LAPR,1001,100,46.45,100,9.81,25.26,1001,0
TENJ,1001,100,50.93,100,10.75,27.76,1001,0
FOCT,990,100,64.41,100,38.42,52.58,990,0
MBBA,989,100,91.06,310,46.49,49.76,989,0
TDV,981,100,124.39,100,77.06,100.55,981,0
PBTP,973,1,26.80,100,17.54,25.66,973,0
VAMO,968,100,65.85,100,27.73,35.89,968,0
ZJAN,966,100,51.48,100,10.86,28.03,966,0
AQLT,963,100,58.06,71,27.85,31.63,963,0
XIDE,951,100,55.40,100,11.80,30.31,951,0
YJUN,950,100,33.25,100,10.48,27.06,950,0
BUFZ,947,100,29.77,100,19.49,27.97,947,0
KJUN,945,100,36.57,100,23.05,29.82,945,0
ISVL,944,100,82.12,100,24.20,51.65,944,0
FJUN,940,100,94.87,100,53.23,60.15,940,0
CSTK,936,100,60.53,100,12.78,33.01,936,0
BFEB,933,100,68.40,100,38.62,52.75,933,0
QSIG,931,100,74.07,310,45.38,48.38,931,0
GSID,926,100,85.85,100,67.59,76.18,926,0
EAOA,905,100,83.14,3,33.33,45.31,905,0
BILT,902,100,52.12,50,28.00,28.40,902,0
QFHD,900,100,49.42,100,10.43,26.90,900,0
TEMX,900,100,69.45,100,14.76,38.00,900,0
TMAR,900,100,47.40,100,10.00,25.79,900,0
HCRB,895,100,45.81,100,25.62,34.99,895,0
IWMW,894,320,44.00,10,37.00,39.53,764,130
RMBX,893,300,18.65,300,17.52,17.79,893,0
VDG,884,100,149.91,2,79.99,81.73,884,0
EAOR,882,100,50.59,100,14.79,37.73,882,0
ADFI,871,100,15.59,100,4.31,8.49,871,0
IBMO,865,5,26.89,40,24.45,25.61,865,0
ATMP,852,100,63.40,100,13.38,34.86,852,0
METW,848,100,32.75,22,25.71,26.07,848,0
FNG,835,1037,9.64,100,4.24,8.93,835,0
PIEQ,832,150,36.48,100,16.90,36.14,669,163
HYHG,825,126,65.50,93,63.97,64.71,825,0
FJUL,824,100,77.34,100,43.67,59.72,824,0
SIXO,816,100,41.83,100,25.26,35.93,816,0
MYLD,815,310,35.02,100,29.03,32.12,815,0
EFNL,812,100,53.30,100,30.75,52.91,812,0
BBSC,811,100,167.95,100,66.85,91.27,811,0
JELH,809,100,46.19,100,19.22,25.24,809,0
RSEE,801,100,52.96,100,15.31,39.51,801,0
NERD,800,15,21.10,100,12.06,20.85,800,0
IROC,797,100,78.52,310,48.30,51.32,797,0
SMTG,796,900,10.05,901,8.50,8.96,796,0
OCTB,795,100,50.09,100,10.57,27.32,795,0
FDEC,785,100,61.17,100,48.34,54.68,785,0
BAUG,781,220,54.00,100,20.84,53.99,781,0
IBHK,781,310,28.60,40,25.12,25.67,781,0
RDFI,781,1000,23.88,310,20.63,23.67,781,0
DDTA,775,100,37.59,100,7.93,20.45,775,0
VFMV,758,100,224.97,100,127.11,141.08,758,0
SCEP,756,100,26.56,100,23.32,24.88,756,0
PAYH,755,100,46.28,100,9.77,25.24,755,0
GMOM,722,100,48.06,100,24.29,35.75,722,0
QLC,721,6,92.00,100,84.34,90.54,721,0
DDX,718,10,25.66,100,9.89,25.25,718,0
WLDR,707,100,60.94,100,17.69,45.50,707,0
BAGY,706,100,34.64,100,13.16,22.80,706,0
SHDG,705,100,60.28,100,12.72,32.89,705,0
TMAT,703,100,55.14,100,11.70,30.15,703,0
ACMM,701,10,26.35,18,18.00,23.08,701,0
NAPR,701,100,108.68,100,22.93,59.18,701,0
QBSF,700,100,49.55,100,10.46,27.05,700,0
QTJL,700,100,76.52,100,16.15,41.79,700,0
CPSL,699,100,51.42,1,27.50,28.01,512,187
FMAR,697,100,58.96,100,46.42,52.47,697,0
DFEB,694,100,92.98,100,19.62,50.67,694,0
OMFS,692,100,69.16,100,41.27,53.33,692,0
SEIQ,684,100,54.08,100,23.19,40.28,684,0
AAAA,682,100,55.97,100,11.81,30.43,682,0
TMFX,680,30,25.00,300,22.60,23.42,680,0
UJAN,675,100,60.79,100,17.62,45.47,675,0
NVBT,656,100,53.33,100,15.47,39.74,656,0
SUIL,656,200,7.27,200,7.05,6.89,656,0
MAGA,652,100,103.70,100,22.30,56.66,652,0
XSHP,646,100,25.72,111,19.50,20.03,646,0
LOCT,644,100,43.90,100,9.27,23.88,644,0
IGHG,642,100,143.63,310,75.10,78.24,642,0
COSW,640,16,41.66,1,39.58,40.71,640,0
MAGC,640,3,18.45,100,13.18,18.12,640,0
AFRU,639,100,14.64,100,14.48,14.65,439,200
XJR,638,100,80.02,100,30.39,52.12,638,0
NPFE,636,100,50.64,100,10.90,27.58,636,0
SIXJ,633,100,49.14,100,21.39,36.62,633,0
FFF,625,16,28.00,100,9.85,25.14,625,0
USMF,614,100,67.98,100,39.06,53.34,614,0
BBCB,608,100,69.05,310,42.13,45.13,608,0
CBTL,608,100,26.80,100,10.34,17.67,608,0
PAUG,608,250,45.80,100,17.81,45.73,608,0
UDEC,604,100,56.14,100,16.43,41.84,604,0
LEAD,603,100,161.41,2,51.01,87.90,603,0
MAYT,593,100,53.43,100,18.36,39.10,593,0
DWLD,591,100,87.17,100,18.54,47.60,591,0
MPLY,591,100,41.39,100,23.25,32.05,591,0
NURE,590,100,60.01,100,12.66,32.62,590,0
XSEP,586,100,81.67,100,17.29,44.47,586,0
XVV,582,100,61.00,100,53.56,57.35,582,0
WZRD,580,46,2.88,100,1.07,2.52,580,0
DLMY,573,100,47.68,100,14.05,30.03,573,0
QBER,569,100,32.58,100,13.25,23.75,475,94
PCS,568,100,66.11,310,46.93,49.97,568,0
STOX,563,100,57.08,100,12.05,31.06,563,0
BINV,561,100,68.02,100,36.14,42.97,561,0
WEED,557,100,26.65,100,12.40,19.77,557,0
ACSV,552,100,91.14,100,19.22,50.29,552,0
SELV,543,100,60.76,100,12.82,33.09,543,0
NUDM,541,100,47.11,100,37.95,40.55,541,0
SMOT,535,100,53.00,100,27.81,39.45,535,0
PLGI,534,100,45.01,100,9.50,24.46,534,0
JULP,531,100,60.15,100,12.69,32.78,531,0
GSUS,530,1,104.67,100,97.20,103.79,530,0
ETTY,527,100,12.05,100,5.08,7.93,527,0
DECP,524,100,59.93,100,12.65,32.63,524,0
COPA,522,10,49.60,1,47.97,48.85,522,0
FLQS,505,100,66.19,100,19.40,49.12,505,0
BSMC,504,100,72.61,100,15.32,39.63,504,0
DFAL,503,100,92.72,100,19.56,50.56,503,0
QBF,501,100,27.85,100,5.88,15.16,101,400
QMY,501,100,47.37,100,9.99,25.83,501,0
XBOC,501,100,65.42,100,13.82,35.60,501,0
BCHP,485,100,67.98,100,14.34,36.97,485,0
NDEC,483,100,55.05,100,11.61,29.96,483,0
SOLM,481,100,13.84,1,9.09,9.15,481,0
RKTL,480,700,12.92,400,12.44,13.01,480,0
KAMO,477,100,30.22,310,21.64,24.61,477,0
XA,476,100,70.56,100,14.88,38.23,476,0
WEEK,474,103,100.14,300,100.04,100.08,474,0
AAPW,467,1409,41.00,1,39.82,40.66,467,0
NOCT,467,100,80.87,100,45.65,62.42,467,0
ACVU,459,100,57.67,100,12.17,31.41,459,0
CEFZ,459,100,10.57,500,8.10,8.27,459,0
ONEZ,452,100,44.12,100,13.13,27.71,452,0
PCL,450,100,91.02,100,19.20,49.66,351,99
SIXZ,450,100,50.37,100,14.86,31.61,450,0
SMMV,447,10,49.80,100,18.02,46.46,447,0
DAUG,445,100,63.02,100,27.29,46.97,445,0
ONEH,440,100,45.27,100,9.55,24.51,440,0
DRNL,439,500,8.60,100,5.86,7.77,439,0
IG,435,100,31.45,1,20.41,20.56,435,0
JUDO,430,100,50.87,100,10.74,27.64,430,0
SCLZ,429,100,85.76,1,55.30,56.19,429,0
BUFS,427,100,46.08,100,19.43,25.05,427,0
BUFP,424,100,59.02,100,12.45,32.18,424,0
GOGL,423,100,51.43,364,27.46,28.43,423,0
ASTG,421,300,17.47,300,16.65,17.63,421,0
IQM,419,100,210.58,7,111.65,114.66,419,0
RPHS,412,100,16.15,100,3.41,8.71,412,0
JANB,411,100,50.16,100,21.15,27.37,411,0
EFAD,410,100,58.34,100,16.88,43.62,410,0
BUSA,405,100,73.65,100,27.00,40.10,405,0
KEEX,404,6,78.63,10,76.25,76.42,404,0
SEPW,402,100,53.32,100,15.88,33.47,402,0
ZMAY,402,100,47.77,100,19.95,26.05,402,0
JUNW,401,100,54.29,100,32.24,34.44,401,0
MSTC,401,100,62.48,100,13.40,33.77,401,0
JANI,400,100,47.70,100,10.06,25.97,400,0
WUGI,394,100,166.58,100,35.14,90.91,394,0
UOCT,390,100,55.43,100,15.99,41.26,390,0
FFEM,384,100,79.60,100,33.58,43.32,384,0
GAA,373,100,45.81,100,24.45,34.57,373,0
GASZ,373,100,46.20,100,9.75,24.13,373,0
DAPR,372,100,55.05,100,15.88,41.05,372,0
PAPR,372,100,48.14,100,36.97,42.33,372,0
AMZW,371,300,37.52,13,36.62,36.63,371,0
FBCV,368,100,74.13,100,15.64,40.45,368,0
QBSV,368,100,49.02,100,26.50,26.73,368,0
ABFL,365,100,92.45,100,75.88,84.06,365,0
IDVZ,365,100,42.61,100,26.01,34.50,365,0
CIEX,358,300,19.77,100,7.43,19.25,358,0
SHAG,357,100,72.54,100,34.35,47.37,357,0
NFLP,352,100,26.95,100,7.42,18.86,352,0
BBEM,346,100,123.99,100,36.85,78.10,346,0
LENS,346,100,72.43,100,15.28,39.48,346,0
LQDI,344,100,40.14,20,23.96,26.22,344,0
MDEV,344,100,21.40,100,11.47,19.81,344,0
CSM,342,5,87.07,100,62.87,86.16,342,0
VUSV,341,100,127.00,100,46.50,69.19,341,0
PONX,334,1700,3.28,400,3.18,3.20,334,0
MSFY,332,2,17.50,5,16.87,17.04,332,0
NUDV,332,100,60.69,100,12.89,33.11,332,0
WLDU,331,31,19.17,583,17.13,17.59,331,0
GTOH,328,500,28.49,100,17.43,25.53,328,0
GJUL,325,100,79.98,100,32.04,43.60,325,0
GJUN,325,100,65.68,100,19.45,41.31,325,0
BCCC,324,100,14.63,1,11.14,11.91,324,0
BUFB,324,100,52.87,100,15.26,39.37,324,0
PEX,324,100,28.17,50,17.64,22.33,324,0
EVLU,316,100,51.27,100,15.85,41.06,316,0
MCHU,316,300,19.92,300,18.85,19.27,316,0
BEGS,315,100,14.30,100,13.97,13.93,315,0
CHNU,315,100,15.49,100,15.06,14.90,315,0
TMFS,314,100,36.80,100,14.23,36.46,314,0
UMAY,314,100,47.53,3,38.01,38.10,314,0
ZJUN,312,1100,28.60,100,10.86,27.46,312,0
EHY,307,100,10.97,100,5.51,7.20,307,0
EUIG,305,500,50.58,500,50.18,50.34,305,0
CTMA,304,100,46.68,100,9.86,25.41,304,0
AQEC,303,100,45.54,100,9.61,24.79,303,0
MCOW,303,100,39.48,100,8.34,21.50,303,0
MFUT,303,100,34.04,500,18.48,18.62,303,0
MVFG,302,100,64.23,100,13.55,34.95,302,0
XIGV,302,100,45.20,100,9.54,24.63,302,0
OVM,301,100,40.09,310,18.80,21.84,301,0
PCI,301,100,79.52,100,43.91,51.87,301,0
JANJ,300,100,45.43,100,9.59,24.77,300,0
QTOC,300,100,69.67,100,14.70,37.90,300,0
BRLN,297,100,62.21,510,47.53,50.59,297,0
BEMB,294,100,66.54,100,40.31,53.29,294,0
ZOCT,291,1000,28.01,100,10.79,27.67,291,0
DDEC,283,100,63.76,100,18.41,47.50,283,0
EZPZ,281,100,16.29,100,15.94,15.96,281,0
QCOC,281,100,43.91,100,9.27,23.88,281,0
FAUG,279,100,69.59,100,41.44,56.68,279,0
APOC,277,100,48.32,100,10.20,26.31,277,0
NUEM,277,100,56.06,100,31.21,41.77,277,0
IVVM,276,100,68.17,100,14.57,37.11,276,0
BBMC,275,1,128.41,100,112.27,127.02,275,0
QMNV,275,100,45.98,100,9.71,25.06,100,175
JOUL,272,100,46.52,1,24.90,25.31,272,0
EMTL,269,100,57.20,100,30.64,42.59,269,0
UBEW,268,10,28.00,100,21.16,27.31,268,0
MBND,266,100,50.13,310,24.32,27.24,266,0
ADME,265,100,72.36,100,40.85,55.91,265,0
BOCT,264,100,69.01,100,38.96,53.24,264,0
BITY,256,100,38.57,1,25.58,26.28,256,0
UFEB,256,100,51.96,100,15.02,38.77,256,0
ESGG,254,100,428.13,100,90.29,232.77,254,0
ARWG,253,100,48.30,100,10.20,26.20,253,0
ZMAR,253,100,36.67,100,10.96,28.29,253,0
BGLD,252,200,16.66,1,16.52,16.57,252,0
MSSS,251,100,67.03,100,14.14,36.48,251,0
FEBM,250,100,57.40,100,12.11,31.17,250,0
MTSG,246,800,10.20,100,3.94,9.95,146,100
TILT,244,100,309.20,100,245.85,277.34,244,0
XDIV,244,100,40.42,17,30.25,30.67,244,0
GOCT,243,100,76.45,100,16.13,41.69,243,0
TLDR,243,160,26.74,320,23.65,25.03,243,0
OVS,241,100,56.80,100,30.14,42.19,241,0
SEPU,240,100,57.25,100,12.08,31.20,240,0
MBBB,234,100,32.60,310,18.26,21.28,234,0
QMAR,231,100,49.88,100,14.40,37.13,231,0
DDFY,229,100,31.98,100,9.44,20.08,229,0
OVB,229,100,37.52,310,17.47,20.43,229,0
YDEC,229,100,50.89,100,10.74,27.78,229,0
UAUG,225,100,56.53,100,16.34,42.16,225,0
SMAX,224,100,51.29,100,11.05,27.92,224,0
DJUL,218,100,92.21,100,19.46,50.23,218,0
MCHG,218,500,11.41,500,10.79,11.23,218,0
PSAI,215,400,28.47,100,16.25,27.84,215,0
CIFC,213,100,32.90,100,7.15,17.98,213,0
GHTA,213,100,56.44,100,11.91,30.73,213,0
NXPX,213,100,23.64,100,13.06,17.50,213,0
BREW,210,100,49.83,100,19.38,28.25,210,0
DECT,210,100,52.83,100,15.26,39.47,210,0
PSFD,210,100,53.66,100,15.48,40.00,210,0
XDSQ,210,100,57.99,100,17.01,43.23,210,0
BUFY,209,100,43.25,100,9.13,23.60,209,0
GEMD,207,100,64.75,100,24.59,42.31,207,0
XJUN,206,100,59.75,100,34.38,44.50,206,0
XIMR,204,100,57.58,100,12.40,31.52,204,0
UMCX,203,100,43.73,434,23.04,23.77,203,0
AUGW,202,100,45.50,100,24.30,34.09,202,0
BZZ,201,100,47.05,100,9.98,25.98,201,0
JNEU,201,200,36.33,100,12.87,33.11,201,0
KEYG,201,500,12.23,700,11.11,11.69,201,0
OVLH,201,100,56.31,100,16.25,41.91,201,0
PSMR,201,100,59.21,100,12.50,32.25,201,0
ZAPR,201,100,48.98,200,26.10,26.72,201,0
AUGZ,200,100,83.61,100,17.64,45.45,200,0
EDGE,200,100,92.10,100,19.43,50.04,200,0
MAYM,200,100,50.42,100,19.15,32.96,200,0
OCDB,200,100,47.41,100,10.01,25.83,200,0
APDB,197,100,47.34,100,9.99,25.75,197,0
AAPY,192,100,48.70,100,18.07,26.47,184,8
XJUL,189,100,74.84,100,16.08,40.74,189,0
JULJ,186,100,45.45,100,9.59,24.78,186,0
GMAR,183,100,81.40,100,17.61,44.37,183,0
IBHM,182,100,46.55,100,9.87,25.34,182,0
CBXA,181,100,32.37,100,12.30,21.16,181,0
FOWF,177,100,63.87,100,13.47,34.51,177,0
MSFC,166,100,54.20,515,29.12,29.35,166,0
MSST,165,100,42.88,100,14.97,23.64,165,0
FNOV,164,100,72.12,100,42.90,58.70,164,0
BESF,161,100,70.00,4,25.00,38.06,161,0
CRDD,161,10,14.98,100,14.71,14.68,161,0
XUSP,156,100,97.20,100,20.50,52.79,156,0
PCPP,153,100,47.84,20,25.52,26.81,153,0
BLDG,146,100,36.93,100,19.19,27.10,146,0
ABLS,145,100,43.76,5,18.25,23.89,145,0
KAPR,145,100,53.47,100,15.44,39.78,145,0
TFJL,145,100,35.42,100,12.66,19.23,145,0
TYLD,143,100,34.64,100,18.98,25.29,143,0
FPRO,138,100,45.79,100,9.66,24.98,138,0
JULI,138,100,46.17,100,9.75,25.20,138,0
EUDV,137,15,53.72,100,20.71,53.47,137,0
IEDI,134,100,71.05,4,54.00,54.89,134,0
VFQY,133,100,214.66,20,168.00,171.40,133,0
MSTB,132,100,57.15,100,30.20,43.02,132,0
BSEP,130,100,68.58,100,20.51,52.95,130,0
