asset_id,ticker,company_name_source_value,resolved_company_name,resolved_company_name_raw,resolution_status,resolution_reason,isin,home_mic,home_country,source_row_hash,credentials_used,phase,created_at_utc
U37462,VODI,UKI0,VODAFONE GROUP PLC,VODAFONE GROUP PLC,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BH4HKS39,XLON,GB,16ffb0dae7db921af1c669d373f4f4f94e6d3d6ec4745933516afecad82d7368,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37463,IC1H,UKI0,INTERCONT.H.,"INTERCONT.H.LS-,208521303",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BHJYC057,XLON,GB,59dd97c3e3a2e72e6d2bb6aa63239389fbed6b86c2973625ea36568b8e391b19,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37464,TCO0,UKI0,TESCO PLC,"TESCO PLC     LS-,0633333",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BLGZ9862,XLON,GB,e4dd8e1b6390ee5952f50f2aec9ae791992b8219a410f25a4347289a8e26a189,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37465,RYSD,UKI0,"NATWEST GR.PLC LS 1,0769","NATWEST GR.PLC LS 1,0769",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BM8PJY71,XLON,GB,8daed92ee631a38b45f2251bf6d2af3875027b5615245f2a7cbcda9c220fbcfc,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37466,T9G,UKI0,VIDAC PHARMA HLDG PLC,VIDAC PHARMA HLDG PLC LS1,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BM9XQ619,XLON,GB,e3483e962203c8912d4051348953fd040d8987e4912d99acf08eace564ef7610,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37467,88Q,UKI0,4BASEBIO PLC         EO 1,4BASEBIO PLC         EO 1,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BMCLYF79,XLON,GB,1c569bbaf1fa169a7b1949703be61a5c5700f5fa95cf86577c71244073a3bc71,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37468,H1W,UKI0,"KLARNA GROUP PLC  LS -,10","KLARNA GROUP PLC  LS -,10",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BMHVL512,XLON,GB,1e07a0b8477cc215c2d2c76d1d8d588f53920772ea374c51d7c4ba95597fe830,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37469,RPD,UKI0,ROYALTY PHARMA OA,ROYALTY PHARMA OA DL-0001,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BMVP7Y09,XLON,GB,b84b58533c886a8c1d265f153a67d57df32d794e94a27f104dcbc83b811a24c3,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37470,H6D0,UKI0,"HALEON PLC       LS 0,01","HALEON PLC       LS 0,01",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BMX86B70,XLON,GB,19c5b63f946f6bafaa42f3a7378abadf2da38dc893f4bbc0f3bd9563f4c0313b,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37471,GS71,UKI0,GSK PLC,"GSK PLC  LS-,3125",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BN7SWP63,XLON,GB,61f7c82d2225ced5e3380c5038c7e74783befee61c7a8e5037c1ea52184dc8d8,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37472,R6C0,UKI0,SHELL PLC,SHELL PLC           EO-07,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BP6MXD84,XLON,GB,4409c9035adb1ab6aed7bf6bf0942b4b90c39234bb0537e62c096b659c4d28e8,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37473,GU81,UKI0,AVIVA PLC,"AVIVA PLC          LS-,33",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BPQY8M80,XLON,GB,f2f0c12490fc36cd84d86188661d57365e298435c1722a590fe1e6f520b84261,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37474,HT3,UKI0,ANGLOGOLD ASHANTI DL 1,ANGLOGOLD ASHANTI DL 1,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BRXH2664,XLON,GB,26daa2fcd20db022b2c61341a0a57fec9283742fbc8dc09a64d0653168290465,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37475,3RB0,UKI0,RECKITT BENCK.,"RECKITT BENCK.LS-,1041666",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BSZBP530,XLON,GB,b9466891fa225ab1b3020127b3007bac1458ae9afd59c526a4b8f85546ba4ada,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37476,NGL0,UKI0,ANGLO AMERICAN,"ANGLO AMERICAN DL-,623855",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BTK05J60,XLON,GB,aa04acefc1c9877704301e965220c611a6c43124a2f38181e044e47020bc6b95,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37477,UNV0,UKI0,"UNILEVER PLC     LS -,035","UNILEVER PLC     LS -,035",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BVZK7T90,XLON,GB,d7dc409f38ed9701c5f3e7a3962c282b4a882844784ce6f7734f9d9737c4e6a9,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37478,0VQ,UKI0,PURETECH HEALTH PLC  LS 1,PURETECH HEALTH PLC  LS 1,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BY2Z0H74,XLON,GB,0465585c7ba9f3120ec85303b91c55e2831d36ac119c69981a934a2ea27eecd2,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
