document,referenced_in_app,exists_in_repo
FINAL_COVERAGE_LIMITATIONS_v2_41d.md,true,true
FINAL_UX_HARDENING_v2_42a.md,true,true
LOCAL_USAGE_PUBLIC_GUIDE_v2_39b.md,true,true
USER_GUIDE.md,true,true
QUICKSTART.md,true,true
