Symbol,Name,yf_symbol,error,price,market_cap,avg_volume_90d,quote_type
BHFAL,"Brighthouse Financial, Inc. - Junior Subordinated Debentures due 2058",BHFAL,,15.72,,21900,EQUITY
BOT,"RoboStrategy, Inc. - Common Stock",BOT,,37.49,,867382,EQUITY
