ticker,name,company_name,exchange,country,sector,industry,market_cap,final_stage3_score,stage3_category,stage3_status,risk_score,data_quality_score,business_quality_score,financial_health_score,growth_score,valuation_score,moat_proxy_score,momentum_score,liquidity_score,source,note
AAPL,Apple Inc.,Apple Inc.,NASDAQ,US,Technology,Consumer Electronics,,100.0,real_universe_input_candidate,INPUT_ONLY,,100.0,,,,,,,,data/real/real_universe.csv,Input-only candidate generated from real_universe.csv. Not financial scoring.
MSFT,Microsoft Corporation,Microsoft Corporation,NASDAQ,US,Technology,Software,,99.0,real_universe_input_candidate,INPUT_ONLY,,100.0,,,,,,,,data/real/real_universe.csv,Input-only candidate generated from real_universe.csv. Not financial scoring.
ASML,ASML Holding N.V.,ASML Holding N.V.,NASDAQ,NL,Technology,Semiconductor Equipment,,98.0,real_universe_input_candidate,INPUT_ONLY,,100.0,,,,,,,,data/real/real_universe.csv,Input-only candidate generated from real_universe.csv. Not financial scoring.
