reason_code,count
MARKET_CAP_BELOW_MINIMUM,199
LOW_DOLLAR_VOLUME,164
DOLLAR_VOLUME_WATCHLIST_RANGE,100
MARKET_CAP_WATCHLIST_RANGE,85
PRICE_BELOW_MINIMUM,80
PRICE_WEAK_WATCHLIST_RANGE,58
PRICE_STRONG_WATCHLIST_RANGE,57
MISSING_MARKET_CAP,2
