ranking_position,ticker,company_name,quant_score,memo_status,ai_gate_status,ai_allowed,openai_called,estimated_cost,model_used,prompt_sha256,json_path,md_path
1,AUPH,Aurinia Pharmaceuticals Inc - Common Shares,70.83,data_insufficient,closed,False,False,0.0,,bfa88a4523d22d588aea18e46f1dcaf07a1699345256f86697947f5594e4c187,D:\Proyectos\💰 Scout Finance\outputs\scouting\research_memo_ai_prompts\ai_prompt_package_01_AUPH.json,D:\Proyectos\💰 Scout Finance\outputs\scouting\research_memo_ai_prompts\ai_prompt_package_01_AUPH.md
2,BZ,KANZHUN LIMITED - American Depository Shares,68.5,data_insufficient,closed,False,False,0.0,,1ef9b3b15fcb287a5e9851ae3cb983df840df945a4c16c9fd36b43d60d5a220e,D:\Proyectos\💰 Scout Finance\outputs\scouting\research_memo_ai_prompts\ai_prompt_package_02_BZ.json,D:\Proyectos\💰 Scout Finance\outputs\scouting\research_memo_ai_prompts\ai_prompt_package_02_BZ.md
3,ADBE,Adobe Inc. - Common Stock,65.97,data_insufficient,closed,False,False,0.0,,f73e27997ce505357df5ba75010f36341a51482fe3216c196647446faf253177,D:\Proyectos\💰 Scout Finance\outputs\scouting\research_memo_ai_prompts\ai_prompt_package_03_ADBE.json,D:\Proyectos\💰 Scout Finance\outputs\scouting\research_memo_ai_prompts\ai_prompt_package_03_ADBE.md
