Symbol,Name,Exchange,Country,Sector,Industry,Market Cap,Last Sale,Volume,Source,instrument_type,instrument_scope,classification_confidence,classification_reason,yf_symbol,quote_type,has_core_market_data,market_data_error,avg_volume_30d,avg_volume_90d
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,USA,Healthcare,Biotechnology,34580588.0,1.33,103998,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ABVC,EQUITY,True,,103998,103998
ABVX,Abivax SA - American Depositary Shares,NASDAQ,USA,Healthcare,Biotechnology,8091386368.0,101.53,1449963,nasdaqlisted|yfinance,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.,ABVX,EQUITY,True,,1449963,1449963
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,USA,Healthcare,Biotechnology,3691845376.0,21.56,1765846,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACAD,EQUITY,True,,1765846,1765846
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,USA,Healthcare,Drug Manufacturers - Specialty & Generic,199847936.0,3.38,918669,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACB,EQUITY,True,,918669,918669
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,USA,Industrials,Consulting Services,21622344.0,1.55,76634,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACCL,EQUITY,True,,76634,76634
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,USA,Energy,Oil & Gas Equipment & Services,1253780736.0,6.93,1506595,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACDC,EQUITY,True,,1506595,1506595
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,USA,Healthcare,Biotechnology,67868192.0,7.26,123650,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACET,EQUITY,True,,123650,123650
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,USA,Technology,Scientific & Technical Instruments,39981632.0,15.94,17369,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACFN,EQUITY,True,,17369,17369
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,USA,Financial Services,Insurance - Diversified,31860838400.0,91.19,2203426,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACGL,EQUITY,True,,2203426,2203426
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,USA,Healthcare,Medical Care Facilities,2251352832.0,24.48,2957084,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACHC,EQUITY,True,,2957084,2957084
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,USA,Healthcare,Biotechnology,526640960.0,5.13,1304866,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACHV,EQUITY,True,,1304866,1304866
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,USA,Financial Services,Insurance - Property & Casualty,498210400.0,10.28,217355,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACIC,EQUITY,True,,217355,217355
ACIU,AC Immune SA - Common Stock,NASDAQ,USA,Healthcare,Biotechnology,228990544.0,2.25,264160,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACIU,EQUITY,True,,264160,264160
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,USA,Technology,Software - Infrastructure,4351115264.0,42.8,747700,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACIW,EQUITY,True,,747700,747700
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,USA,Technology,Semiconductor Equipment & Materials,4522800128.0,147.16,683120,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACLS,EQUITY,True,,683120,683120
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,USA,Technology,Semiconductor Equipment & Materials,5272363008.0,76.29,1369280,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACMR,EQUITY,True,,1369280,1369280
ACNB,ACNB Corporation - Common Stock,NASDAQ,USA,Financial Services,Banks - Regional,560436992.0,54.88,62722,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACNB,EQUITY,True,,62722,62722
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,USA,Basic Materials,Chemicals,122467816.0,13.55,111365,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACNT,EQUITY,True,,111365,111365
