ticker,name,company_name,exchange,country,sector,industry,regular_market_price,price_at_signal,market_cap,volume,average_volume,relative_volume,change_1d,change_5d,change_20d,change_1d_pct_input,change_5d_pct_input,change_20d_pct_input,currency,market_data_timestamp,market_data_status,market_data_provider,percent_input_mode,error,stage3_status,stage3_category,final_stage3_score,risk_score,data_quality_score,data_quality_label,business_quality_score,financial_health_score,growth_score,valuation_score,moat_proxy_score,momentum_score,liquidity_score,score_method,source,note,metadata_component_score,market_data_component_score,liquidity_component_score,momentum_component_score,data_quality_component_score,penalty_score,local_score_v0,score_priority,local_score_category,category_final,local_score_status,local_score_method,local_score_reason,reason_to_pass_quant,explainability_summary,positive_factors,negative_factors,missing_data_flags,review_flags,explainability_badges,explainability_method,score_previous,score,combined_score_v1,combined_score_delta,metadata_score_component,market_data_score_component,fundamentals_score_component,scoring_method,fundamentals_status,score_reason,local_score_v0_previous,score_final,display_score,category,category_label,status,estado,local_score_v0_reason_previous
MSFT,Microsoft Corporation,Microsoft Corporation,NASDAQ,US,Technology,Software,430.0,430.0,3200000000000,25000000,28000000,0.89,0.003,0.009,0.028,0.3,0.9,2.8,USD,2026-06-29,OK_MANUAL,manual_market_data.csv,human_percent,,COMBINED_SCORE_V1,local_score_high,95.75,,100,MARKET_DATA_SCORE_MANUAL,,,,,,,,local_score_v0,data/real/real_universe.csv + provider fallback,Manual market data priority. Percent inputs normalized from human percent units to app ratios.,100.0,100.0,100.0,80.0,95.0,0,91.06,95.75,local_score_high,combined_score_high,LOCAL_SCORE_V0,local_score_v0,"COMBINED_SCORE_V1 91.06: metadata 91.48, market data 79.32, fundamentales 100.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos alta; sin alertas fuertes. No es recomendación financiera.","COMBINED_SCORE_V1 91.06: metadata 91.48, market data 79.32, fundamentales 100.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos alta; sin alertas fuertes. No es recomendación financiera.","COMBINED_SCORE_V1 91.06: metadata 91.48, market data 79.32, fundamentales 100.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos alta; sin alertas fuertes. No es recomendación financiera.",metadatos suficientes | market data sólido | fundamentales sólidos | escala de ingresos alta | crecimiento de ingresos fuerte | gross margin excelente | operating margin excelente,,,standard_review,combined score v1 | fundamentals included | no external API,ranking_explainability_v0,91.06,91.06,91.06,0.0,91.48,79.32,100.0,combined_score_v1,OK,"COMBINED_SCORE_V1 91.06: metadata 91.48, market data 79.32, fundamentales 100.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos alta; sin alertas fuertes. No es recomendación financiera.",91.06,91.06,91.06,combined_score_high,Alta prioridad combinada,COMBINED_SCORE_V1,COMBINED_SCORE_V1,"COMBINED_SCORE_V1 91.06: metadata 91.48, market data 79.32, fundamentales 100.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos alta; sin alertas fuertes. No es recomendación financiera."
ASML,ASML Holding N.V.,ASML Holding N.V.,NASDAQ,NL,Technology,Semiconductor Equipment,750.0,750.0,300000000000,1200000,1500000,0.8,-0.002,0.015,0.041,-0.2,1.5,4.1,EUR,2026-06-29,OK_MANUAL,manual_market_data.csv,human_percent,,COMBINED_SCORE_V1,local_score_high,95.75,,100,MARKET_DATA_SCORE_MANUAL,,,,,,,,local_score_v0,data/real/real_universe.csv + provider fallback,Manual market data priority. Percent inputs normalized from human percent units to app ratios.,100.0,100.0,100.0,80.0,95.0,0,91.06,95.75,local_score_high,combined_score_high,LOCAL_SCORE_V0,local_score_v0,"COMBINED_SCORE_V1 91.06: metadata 91.48, market data 79.32, fundamentales 100.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos razonable; sin alertas fuertes. No es recomendación financiera.","COMBINED_SCORE_V1 91.06: metadata 91.48, market data 79.32, fundamentales 100.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos razonable; sin alertas fuertes. No es recomendación financiera.","COMBINED_SCORE_V1 91.06: metadata 91.48, market data 79.32, fundamentales 100.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos razonable; sin alertas fuertes. No es recomendación financiera.",metadatos suficientes | market data sólido | fundamentales sólidos | escala de ingresos razonable | crecimiento de ingresos positivo | gross margin sólido | operating margin excelente,,,standard_review,combined score v1 | fundamentals included | no external API,ranking_explainability_v0,91.06,91.06,91.06,0.0,91.48,79.32,100.0,combined_score_v1,OK,"COMBINED_SCORE_V1 91.06: metadata 91.48, market data 79.32, fundamentales 100.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos razonable; sin alertas fuertes. No es recomendación financiera.",91.06,91.06,91.06,combined_score_high,Alta prioridad combinada,COMBINED_SCORE_V1,COMBINED_SCORE_V1,"COMBINED_SCORE_V1 91.06: metadata 91.48, market data 79.32, fundamentales 100.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos razonable; sin alertas fuertes. No es recomendación financiera."
AAPL,Apple Inc.,Apple Inc.,NASDAQ,US,Technology,Consumer Electronics,195.0,195.0,3000000000000,50000000,55000000,0.91,0.005,0.012,0.035,0.5,1.2,3.5,USD,2026-06-29,OK_MANUAL,manual_market_data.csv,human_percent,,COMBINED_SCORE_V1,local_score_high,95.75,,100,MARKET_DATA_SCORE_MANUAL,,,,,,,,local_score_v0,data/real/real_universe.csv + provider fallback,Manual market data priority. Percent inputs normalized from human percent units to app ratios.,100.0,100.0,100.0,80.0,95.0,0,89.3,95.75,local_score_high,combined_score_high,LOCAL_SCORE_V0,local_score_v0,"COMBINED_SCORE_V1 89.3: metadata 90.52, market data 78.7, fundamentales 97.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos alta; sin alertas fuertes. No es recomendación financiera.","COMBINED_SCORE_V1 89.3: metadata 90.52, market data 78.7, fundamentales 97.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos alta; sin alertas fuertes. No es recomendación financiera.","COMBINED_SCORE_V1 89.3: metadata 90.52, market data 78.7, fundamentales 97.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos alta; sin alertas fuertes. No es recomendación financiera.",metadatos suficientes | market data sólido | fundamentales sólidos | escala de ingresos alta | gross margin sólido | operating margin excelente | net margin fuerte,,,standard_review,combined score v1 | fundamentals included | no external API,ranking_explainability_v0,89.3,89.3,89.3,0.0,90.52,78.7,97.0,combined_score_v1,OK,"COMBINED_SCORE_V1 89.3: metadata 90.52, market data 78.7, fundamentales 97.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos alta; sin alertas fuertes. No es recomendación financiera.",89.3,89.3,89.3,combined_score_high,Alta prioridad combinada,COMBINED_SCORE_V1,COMBINED_SCORE_V1,"COMBINED_SCORE_V1 89.3: metadata 90.52, market data 78.7, fundamentales 97.0. Sube por metadatos suficientes, market data sólido, fundamentales sólidos, escala de ingresos alta; sin alertas fuertes. No es recomendación financiera."
