ticker,name,exchange,country,region,currency,sector,industry,asset_type,is_active,market_cap,price,avg_volume_30d,avg_volume_90d,data_source,last_updated,isin,figi,cusip,ipo_date,shares_outstanding,free_float,primary_listing,adr_flag,otc_flag,etf_flag,fund_flag,preferred_flag,warrant_flag,spac_flag,duplicate_group,dollar_volume_90d,universe_validation_status,universe_validation_date,stage1_status,stage1_primary_reason,stage1_all_reasons
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Semiconductor Equipment & Materials,common_stock,True,4522800128.0,147.16,683120.0,683120.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,100527939.2,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,USA,North America,USD,Technology,Semiconductor Equipment & Materials,common_stock,True,5272363008.0,76.29,1369280.0,1369280.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,104462371.2,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ACNB,ACNB Corporation - Common Stock,NASDAQ,USA,North America,USD,Financial Services,Banks - Regional,common_stock,True,560436992.0,54.88,62722.0,62722.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,3442183.3600000003,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,608933632.0,4.36,1762419.0,1762419.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,7684146.840000001,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,USA,North America,USD,Financial Services,Insurance - Specialty,common_stock,True,5833915392.0,41.79,313950.0,313950.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,13119970.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,USA,North America,USD,Real Estate,REIT - Mortgage,common_stock,True,806952704.0,8.98,766512.0,766512.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,6883277.760000001,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ADBE,Adobe Inc. - Common Stock,NASDAQ,USA,North America,USD,Technology,Software - Application,common_stock,True,101632049152.0,251.44,5571100.0,5571100.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,1400797384.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ADEA,Adeia Inc.  - Common Stock,NASDAQ,USA,North America,USD,Technology,Software - Application,common_stock,True,3196312832.0,28.98,1697325.0,1697325.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,49188478.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Semiconductors,common_stock,True,195511877632.0,401.39,3937093.0,3937093.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,1580309759.27,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,1847228544.0,7.97,6990904.0,6990904.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,55717504.88,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Software - Application,common_stock,True,92718366720.0,231.95,3341206.0,3341206.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,774992731.6999999,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Diagnostics & Research,common_stock,True,2704750080.0,16.9,1933823.0,1933823.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,32681608.7,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Software - Application,common_stock,True,48554962944.0,229.96,2084849.0,2084849.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,479431876.04,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Communication Equipment,common_stock,True,1243320832.0,15.35,2496573.0,2496573.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,38322395.55,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,USA,North America,USD,Industrials,Pollution & Treatment Controls,common_stock,True,472856832.0,14.02,336734.0,336734.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,4721010.68,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Medical Care Facilities,common_stock,True,1719025792.0,92.1,247895.0,247895.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,22831129.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,USA,North America,USD,Communication Services,Advertising Agencies,common_stock,True,515192096.0,38.75,82821.0,82821.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,3209313.75,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,USA,North America,USD,Industrials,Farm & Heavy Construction Machinery,common_stock,True,892095552.0,11.51,344066.0,344066.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,3960199.66,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AEHR,Aehr Test Systems - Common Stock,NASDAQ,USA,North America,USD,Technology,Semiconductor Equipment & Materials,common_stock,True,3096572672.0,98.45,2939947.0,2939947.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,289437782.15000004,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,USA,North America,USD,Industrials,Electrical Equipment & Parts,common_stock,True,11795540992.0,294.81,782965.0,782965.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,230825911.65,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,USA,North America,USD,Utilities,Utilities - Regulated Electric,common_stock,True,70265724928.0,129.14,3806220.0,3806220.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,491535250.8,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Software - Infrastructure,common_stock,True,1553985024.0,23.01,1888300.0,1888300.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,43449783.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,USA,North America,USD,Financial Services,Credit Services,common_stock,True,21302896640.0,63.61,5304323.0,5304323.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,337407986.03,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ,USA,North America,USD,Consumer Defensive,Beverages - Wineries & Distilleries,common_stock,True,343392544.0,15.07,152784.0,152784.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,2302454.88,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,1682451840.0,28.29,1049271.0,1049271.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,29683876.59,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,USA,North America,USD,Real Estate,REIT - Mortgage,common_stock,True,11674440704.0,10.17,17067223.0,17067223.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,173573657.91,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AGNT,"eXp World Holdings, Inc. - Common Stock",NASDAQ,USA,North America,USD,Real Estate,Real Estate Services,common_stock,True,780538624.0,4.75,1158055.0,1158055.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,5500761.25,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Software - Application,common_stock,True,2493309696.0,88.52,348909.0,348909.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,30885424.68,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Medical Devices,common_stock,True,1345575552.0,9.89,1501592.0,1501592.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,14850744.88,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AIAI,AIAI Holdings Corporation - Class A common stock,NASDAQ,USA,North America,USD,Industrials,Conglomerates,common_stock,True,824080000.0,11.72,335342.0,335342.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,3930208.24,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Software - Infrastructure,common_stock,True,515125536.0,3.84,1597003.0,1597003.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,6132491.52,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AIP,"Arteris, Inc.  - Common Stock",NASDAQ,USA,North America,USD,Technology,Semiconductors,common_stock,True,1582775552.0,34.28,786230.0,786230.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,26951964.4,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
