scenario,scenario_label,ticker,name,market_cap,price,avg_volume_90d,dollar_volume_90d,balanced_decision,simulated_reasons,weak_reasons
balanced,Equilibrado,BBSI,"Barrett Business Services, Inc. - Common Stock",810468352.0,33.0,253547,8367051.0,PASSED,,
balanced,Equilibrado,BCAX,Bicara Therapeutics Inc. - Common Stock,1314077312.0,20.0,557311,11146220.0,PASSED,,
balanced,Equilibrado,BCPC,Balchem Corporation - Common Stock,5137882112.0,159.91,202768,32424630.88,PASSED,,
balanced,Equilibrado,BCRX,"BioCryst Pharmaceuticals, Inc. - Common Stock",2137507840.0,8.41,5295541,44535499.81,PASSED,,
balanced,Equilibrado,BEAM,Beam Therapeutics Inc. - Common Stock,3024648960.0,29.4,2041384,60016689.6,PASSED,,
balanced,Equilibrado,BELFA,Bel Fuse Inc. - Class A Common Stock,2952176896.0,232.04,83258,19319186.32,PASSED,,
balanced,Equilibrado,BELFB,Bel Fuse Inc. - Class B Common Stock,3734313984.0,262.56,240826,63231274.56,PASSED,,
balanced,Equilibrado,BFC,Bank First Corporation - Common Stock,1575015296.0,140.34,99947,14026561.98,PASSED,,
balanced,Equilibrado,BFST,"Business First Bancshares, Inc. - Common Stock",929688192.0,28.45,187401,5331558.45,PASSED,,
balanced,Equilibrado,BGC,"BGC Group, Inc. - Class A Common Stock",5202554880.0,10.86,2944090,31972817.4,PASSED,,
balanced,Equilibrado,BHF,"Brighthouse Financial, Inc. - Common Stock",3598978560.0,62.65,575111,36030704.15,PASSED,,
balanced,Equilibrado,BHRB,Burke & Herbert Financial Services Corp. - Common Stock,1299460992.0,64.49,134173,8652816.77,PASSED,,
balanced,Equilibrado,BIDU,"Baidu, Inc. - American Depositary Shares, each representing 8 ordinary share",41395142656.0,121.66,2332326,283750781.16,PASSED,,
balanced,Equilibrado,BIIB,Biogen Inc. - Common Stock,28839434240.0,195.34,1156031,225819095.54,PASSED,,
balanced,Equilibrado,BILI,Bilibili Inc. - American Depositary Shares,7277181440.0,17.46,3070093,53603823.78,PASSED,,
balanced,Equilibrado,BIOA,"BioAge Labs, Inc. - Common Stock",697907968.0,15.7,479465,7527600.5,PASSED,,
balanced,Equilibrado,BJRI,"BJ's Restaurants, Inc. - Common Stock",904568448.0,43.04,372561,16035025.44,PASSED,,
