batch_id,run_utc,provider,requested,selected,collected,skipped_existing,failed,status,phase9c_authorized,scoring_calculated,ranking_calculated,recommendations_generated
v2_38o_20260903T203238Z,2026-09-03T20:32:38.225790+00:00,stooq,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38o_20260903T203547Z,2026-09-03T20:35:47.710162+00:00,stooq,1,1,1,0,0,COMPLETED,false,false,false,false
