asset_id,ticker,company_name,exchange,price_rows,date_start,date_end,features_calculated,features_missing,price_feature_quality_status,quality_flags
U00533,CBLL,"CeriBell, Inc. - Common Stock",,474,2024-10-11,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00535,CBRL,"Cracker Barrel Old Country Store, Inc. - Common Stock",,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00537,CBSH,"Commerce Bancshares, Inc. - Common Stock",,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00538,CBUS,"Cibus, Inc. - Class A Common Stock",,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00541,CCB,Coastal Financial Corporation - Common Stock,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00542,CCBG,Capital City Bank Group - Common Stock,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00543,CCC,CCC Intelligent Solutions Holdings Inc. - Common Stock,,215,2025-10-24,2026-09-02,19,max_drawdown_12m|return_12m,PRICE_FEATURES_PARTIAL,adjusted_prices_unavailable|less_than_252_sessions
U00544,CCCC,"C4 Therapeutics, Inc. - Common Stock",,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00552,CCLD,"CareCloud, Inc. - Common Stock",,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00553,CCNE,CNB Financial Corporation - Common Stock,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00556,CCSI,"Consensus Cloud Solutions, Inc. - Common Stock",,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00557,CCTG,CCSC Technology International Holdings Limited - Class A Ordinary Shares,,658,2024-01-18,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00559,CD,Chaince Digital Holdings Inc. - American Ordinary Shares,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00560,CDIO,Cardio Diagnostics Holdings Inc. - Common stock,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00561,CDLX,"Cardlytics, Inc. - Common Stock",,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00562,CDNA,"CareDx, Inc. - Common Stock",,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00564,CDNS,"Cadence Design Systems, Inc. - Common Stock",,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00567,CDTG,CDT Environmental Technology Investment Holdings Limited - ordinary shares,,595,2024-04-19,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00568,CDW,CDW Corporation - Common Stock,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00569,CDXS,"Codexis, Inc. - Common Stock",,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00570,CDZI,"Cadiz, Inc. - Common Stock",,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00571,CECO,CECO Environmental Corp. - Common Stock,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00572,CEG,Constellation Energy Corporation - Common Stock When-Issued,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00574,CELH,"Celsius Holdings, Inc. - Common Stock",,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00575,CELU,Celularity Inc. - Class A Common Stock,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00578,CENT,Central Garden & Pet Company - Common Stock,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00579,CENTA,Central Garden & Pet Company - Class A Common Stock Nonvoting,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00580,CENX,Century Aluminum Company - Common Stock,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00585,CERS,Cerus Corporation - Common Stock,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00586,CERT,"Certara, Inc. - Common Stock",,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00587,CETX,Cemtrex Inc. - Common Stock,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00588,CETY,"Clean Energy Technologies, Inc. - Common Stock",,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00590,CFBK,CF Bankshares Inc. - Common Stock,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00591,CFFI,C&F Financial Corporation - Common Stock,,670,2024-01-02,2026-09-02,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
