asset_id,ticker,company_name,exchange,price_rows,date_start,date_end,trading_days_1y,adjusted_prices_available,price_feature_quality_status,features_calculated,features_missing,quality_flags,return_1m,return_3m,return_6m,return_12m,price_vs_sma_50,price_vs_sma_200,sma_50_vs_sma_200,volatility_3m,volatility_6m,max_drawdown_6m,max_drawdown_12m,downside_volatility_6m,avg_volume_1m,avg_volume_3m,momentum_consistency_flag,trend_positive_flag,recent_high_breakout_flag,near_52w_high_flag,recovery_from_drawdown_flag,price_acceleration_flag,liquidity_available_flag,phase
U00039,ACMR,"ACM Research, Inc. - Class A Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.109359,-0.238033,0.358945,1.481928,-0.201554,0.117788,0.399954,1.10179,0.956719,-0.485381,-0.485381,0.563196,915918.904762,1323639.634921,false,false,false,false,false,false,true,v2.38H
U00040,ACNB,ACNB Corporation - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.008369,0.19099,0.277811,0.411739,0.025022,0.193649,0.164511,0.230008,0.239872,-0.103168,-0.148364,0.139289,70531.285714,74534.238095,false,true,false,true,false,false,true,v2.38H
U00041,ACNT,Ascent Industries Co. - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.027688,0.101386,-0.131185,0.235679,-0.002431,0.013062,0.015531,0.255849,0.404205,-0.121739,-0.318335,0.458622,55455.095238,68429.47619,false,false,false,false,false,false,true,v2.38H
U00042,ACOG,Alpha Cognition Inc. - Common Stock,,451,2024-11-12,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.087782,0.483819,0.594783,0.104819,0.087472,0.398708,0.286201,0.56335,0.59104,-0.214592,-0.540816,0.29973,163152.904762,103673.190476,true,true,false,true,true,false,true,v2.38H
U00043,ACON,"Aclarion, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.012712,-0.334286,-0.130597,-0.674944,-0.09366,-0.354125,-0.287381,0.630955,0.655728,-0.459786,-0.792054,0.360982,67787.285714,61797.349206,false,false,false,false,false,false,true,v2.38H
U00044,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.088608,0.300216,0.980263,2.119171,0.059523,0.447463,0.366146,0.55794,0.615676,-0.194499,-0.366446,0.330502,1901609.619048,1883447.650794,true,true,false,true,true,false,true,v2.38H
U00046,ACT,"Enact Holdings, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.011487,0.176914,0.156123,0.286321,0.025243,0.136107,0.108135,0.181171,0.187081,-0.081711,-0.10961,0.122532,323015.238095,343214.603175,true,true,false,true,false,false,true,v2.38H
U00047,ACTG,Acacia Research Corporation - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.023758,-0.044397,0.094431,0.325513,-0.010291,0.03,0.04071,0.245339,0.387813,-0.153101,-0.153101,0.191082,256533.714286,254201.714286,false,false,false,false,false,false,true,v2.38H
U00053,ADBE,Adobe Inc. - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.138219,0.09145,0.055685,-0.197982,0.172675,0.064589,-0.092171,0.492107,0.465209,-0.318066,-0.473657,0.290995,4296214.0,6219112.603175,true,false,false,false,false,true,true,v2.38H
U00054,ADEA,Adeia Inc. - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.123066,-0.205153,0.225855,0.620346,-0.127168,0.031887,0.182228,0.671564,0.678504,-0.311329,-0.34814,0.474243,938624.619048,1531275.746032,false,false,false,false,false,false,true,v2.38H
