ticker,score_previous,metadata_score_component,market_data_score_component,fundamentals_score_component,combined_score_v1,combined_score_delta,category_final,category_label,fundamentals_status,positive_factors,negative_factors,method
MSFT,91.06,91.48,79.32,100.0,91.06,0.0,combined_score_high,Alta prioridad combinada,OK,metadatos suficientes | market data sólido | fundamentales sólidos | escala de ingresos alta | crecimiento de ingresos fuerte | gross margin excelente | operating margin excelente,,combined_score_v1
ASML,91.06,91.48,79.32,100.0,91.06,0.0,combined_score_high,Alta prioridad combinada,OK,metadatos suficientes | market data sólido | fundamentales sólidos | escala de ingresos razonable | crecimiento de ingresos positivo | gross margin sólido | operating margin excelente,,combined_score_v1
AAPL,89.3,90.52,78.7,97.0,89.3,0.0,combined_score_high,Alta prioridad combinada,OK,metadatos suficientes | market data sólido | fundamentales sólidos | escala de ingresos alta | gross margin sólido | operating margin excelente | net margin fuerte,,combined_score_v1
