instrument_bucket,rows,pct_total
common_equity_candidate,23730,55.07206
fund_or_note,10409,24.156977
unclassified,8765,20.341619
depositary_receipt_candidate,158,0.366683
provider_specific_unresolved,20,0.046416
conditional_investment_vehicle,7,0.016245
