enrichment_readiness,rows,pct_total
CONDITIONAL_SOURCE,16768,38.914804
NOT_ELIGIBLE,10432,24.210355
REVIEW_REQUIRED,9710,22.534754
READY_FOR_SOURCE_PLANNING,4397,10.204461
METADATA_REPAIR_REQUIRED,1782,4.135626
