currency,rows,pct_total
<MISSING>,31778,73.749681
JPY,3705,8.598482
HKD,3025,7.020353
INR,2013,4.671726
AUD,1316,3.054144
TWD,696,1.615261
SGD,358,0.830838
USD,91,0.211191
RMB,84,0.194945
COP,23,0.053378
