exchange,rows,pct_total
CBOE_EUROPE,21154,49.093736
NASDAQ,4336,10.062893
JPX,3705,8.598482
NYSE,3362,7.802455
HKEX,3200,7.426489
NSE,2013,4.671726
XETR,1424,3.304788
ASX,1316,3.054144
CBOE,1220,2.831349
TWSE,696,1.615261
SGX,358,0.830838
NYSE American,265,0.615006
BVC,23,0.053378
NYSE Arca,13,0.03017
Cboe BZX,4,0.009283
