artifact,path,expected_rows,actual_rows,expected_sha,actual_sha,matched
active_canonical,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv,38287,38287,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f,True
current_validated_candidate,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,41392,41392,3f864f1fc0196d9ec3b9ed1b2e8fa3f11c6a109933e0c07c212dc8e89d8b571c,3f864f1fc0196d9ec3b9ed1b2e8fa3f11c6a109933e0c07c212dc8e89d8b571c,True
asx_validated_candidate,outputs\full_universe_source_acquisition\expanded_universe_candidate_asx_v2_20g.csv,42708,42708,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127,True
planned_promoted_canonical,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv,42708,,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127,,True
