artifact_id,source_id,label,raw_path,headers_path,content_type,byte_count,sha256,validation_phase,candidate_extraction_phase
hkex_repair_01_full_list_of_securities,hkex_securities_lists,Full List of Securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities_headers.json,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1382593,0cdb042847c03c3a57ee0d7efa105058a4ef2455500de5c26b503382a0c22259,v2.19M_FIX,not_before_v2.19N_and_only_if_repaired_raw_validation_passes
hkex_repair_02_list_of_approved_spac_exchange_participants,hkex_equities,List of Approved SPAC Exchange Participants,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\02_list_of_approved_spac_exchange_participants.xls,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\02_list_of_approved_spac_exchange_participants_headers.json,application/vnd.ms-excel,30720,7a1458bfa41200f5db20649ba8df5f2d6552071ce828aca267e24e6e65eaaa20,v2.19M_FIX,not_before_v2.19N_and_only_if_repaired_raw_validation_passes
hkex_repair_03_secstkorder_xls,hkex_securities_lists,,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\03_secstkorder_xls.xls,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\03_secstkorder_xls_headers.json,application/vnd.ms-excel,427520,f31d722c2fe98934f29ff868bd5e620aef34af45dbf38479670795fe8767c4bb,v2.19M_FIX,not_before_v2.19N_and_only_if_repaired_raw_validation_passes
hkex_repair_04_englishstk_xls,hkex_securities_lists,,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\04_englishstk_xls.xls,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\04_englishstk_xls_headers.json,application/vnd.ms-excel,434176,5384b88d5a18b776ae6a7c6d2ac1c5505b433ce6c0f0a35996c05c2335a4dfed,v2.19M_FIX,not_before_v2.19N_and_only_if_repaired_raw_validation_passes
hkex_repair_05_list_of_vcm_securities_xls,hkex_securities_lists,,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\05_list_of_vcm_securities_xls.xls,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\05_list_of_vcm_securities_xls_headers.json,application/vnd.ms-excel,45568,98a909c0830f5ca38e49440a77a0ecade55378c49a82ebf62a40ac569b3e93be,v2.19M_FIX,not_before_v2.19N_and_only_if_repaired_raw_validation_passes
hkex_repair_06_list_of_cas_securities_xls,hkex_securities_lists,,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\06_list_of_cas_securities_xls.xls,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\06_list_of_cas_securities_xls_headers.json,application/vnd.ms-excel,84992,7f0d3e7aab8b852d621fee30e3740a1bc0fd7c5a606b677c03c1b80bf00c1d64,v2.19M_FIX,not_before_v2.19N_and_only_if_repaired_raw_validation_passes
hkex_repair_07_isino_xls,hkex_securities_lists,,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\07_isino_xls.xls,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\07_isino_xls_headers.json,application/vnd.ms-excel,1883136,ddb040bd9afab4303ea6aae568941f921d26f9d33eb351cef99bab9e5e065176,v2.19M_FIX,not_before_v2.19N_and_only_if_repaired_raw_validation_passes
hkex_repair_08_isinsehk_xls,hkex_securities_lists,,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\08_isinsehk_xls.xls,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\08_isinsehk_xls_headers.json,application/vnd.ms-excel,1606656,38fd581c344a8620029f16e17fe19c80959cb22edbc289d28b2821353b1d6dd4,v2.19M_FIX,not_before_v2.19N_and_only_if_repaired_raw_validation_passes
hkex_repair_09_list_of_dual_counter_securities,hkex_securities_lists,List of Dual Counter Securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\09_list_of_dual_counter_securities.xlsx,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\09_list_of_dual_counter_securities_headers.json,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,19751,b79e446159b3f80f9a4d9c796d9c3ca80969a87440922b13ed3e972a83139c60,v2.19M_FIX,not_before_v2.19N_and_only_if_repaired_raw_validation_passes
