row_number,matched_terms,isin,symbol,name,country,exchange,mic,currency,source_provider,severity
3319,note,,,AIM ImmunoTech Inc. Common Stock,USA,NYSE American,,,nasdaq_trader_otherlisted,review
3321,fund,,,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
3339,debenture;debentures,,,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,USA,NYSE,,,nasdaq_trader_otherlisted,review
3377,fund,,,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
3393,note;notes,,,"Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1, 2079",USA,NYSE,,,nasdaq_trader_otherlisted,review
3396,fund,,,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",USA,NYSE,,,nasdaq_trader_otherlisted,review
3416,fund,,,"Liberty All-Star Growth Fund, Inc.",USA,NYSE,,,nasdaq_trader_otherlisted,review
3417,fund,,,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
3426,debenture;debentures,,,Athene Holding Ltd. 7.250% Fixed-Rate Reset Junior Subordinated Debentures due 2064,USA,NYSE,,,nasdaq_trader_otherlisted,review
3444,fund,,,Advent Convertible and Income Fund,USA,NYSE,,,nasdaq_trader_otherlisted,review
3449,fund,,,Alliancebernstein Global High Income Fund,USA,NYSE,,,nasdaq_trader_otherlisted,review
3452,fund,,,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
3501,fund,,,"Bancroft Fund, Ltd.",USA,NYSE American,,,nasdaq_trader_otherlisted,review
3513,note;notes,,,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,USA,NYSE,,,nasdaq_trader_otherlisted,review
3514,note;notes,,,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes,USA,NYSE,,,nasdaq_trader_otherlisted,review
3515,note;notes,,,Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes,USA,NYSE,,,nasdaq_trader_otherlisted,review
3524,fund,,,Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
3525,fund,,,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,USA,NYSE,,,nasdaq_trader_otherlisted,review
3532,fund,,,Blackstone Long Short Credit Income Fund Common Shares,USA,NYSE,,,nasdaq_trader_otherlisted,review
3547,note;notes,,,BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes,USA,NYSE,,,nasdaq_trader_otherlisted,review
3577,note;notes,,,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,USA,NYSE,,,nasdaq_trader_otherlisted,review
3590,fund,,,Bluerock Private Real Estate Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
3604,fund,,,Saba Capital Income & Opportunities Fund SBI,USA,NYSE,,,nasdaq_trader_otherlisted,review
3607,fund,,,Blackstone Senior Floating Rate 2027 Term Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
3615,fund,,,John Hancock Financial Opportunities Fund Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
3629,fund,,,BrandywineGLOBAL Global Income Opportunities Fund Inc.,USA,NYSE,,,nasdaq_trader_otherlisted,review
3639,fund,,,Blackstone Secured Lending Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
3648,fund,,,Morgan Stanley China A Share Fund Inc. Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
3673,fund,,,Carlyle Credit Income Fund Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
3686,fund,,,"The Central and Eastern Europe Fund, Inc. (The) Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
3691,fund,,,C1 Fund Inc. Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
3708,fund,,,"BlackRock Enhanced Large Cap Core Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
3709,fund,,,"Credit Suisse Asset Management Income Fund, Inc. Common Stock",USA,NYSE American,,,nasdaq_trader_otherlisted,review
3723,fund,,,"Cornerstone Strategic Investment Fund, Inc. Common Shares",USA,NYSE American,,,nasdaq_trader_otherlisted,review
3751,debenture;debentures,,,"CNO Financial Group, Inc. 5.125% Subordinated Debentures due 2060",USA,NYSE,,,nasdaq_trader_otherlisted,review
3788,fund,,,"Cornerstone Total Return Fund, Inc. (The) Common Stock",USA,NYSE American,,,nasdaq_trader_otherlisted,review
3846,fund,,,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
3852,note;notes,,,"Dime Commercial Bancshares, Inc. 9.000% Junior Subordinated Notes",USA,NYSE,,,nasdaq_trader_otherlisted,review
3875,fund,,,BNY Mellon High Yield Strategies Fund Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
3880,fund,,,Credit Suisse High Yield Credit Fund Common Stock,USA,NYSE American,,,nasdaq_trader_otherlisted,review
3891,fund,,,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
3892,fund,,,Destra Multi-Alternative Fund Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
3894,fund,,,Western Asset Mortgage Opportunity Fund Inc. Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
3898,fund,,,"DNP Select Income Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
3907,fund,,,Duff & Phelps Utility and Infrastructure Fund Inc.,USA,NYSE,,,nasdaq_trader_otherlisted,review
3909,fund,,,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,USA,NYSE,,,nasdaq_trader_otherlisted,review
3911,fund,,,"Blackrock Debt Strategies Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
3914,debenture;debentures,,,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,USA,NYSE,,,nasdaq_trader_otherlisted,review
3916,fund,,,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
3917,debenture;debentures,,,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,USA,NYSE,,,nasdaq_trader_otherlisted,review
3918,debenture;debentures,,,DTE Energy Company 2025 Series H 6.25% Junior Subordinated Debentures due 2085,USA,NYSE,,,nasdaq_trader_otherlisted,review
3920,debenture;debentures,,,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,USA,NYSE,,,nasdaq_trader_otherlisted,review
3922,debenture;debentures,,,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,USA,NYSE,,,nasdaq_trader_otherlisted,review
3932,fund,,,Allspring Income Opportunities Fund Common Shares,USA,NYSE American,,,nasdaq_trader_otherlisted,review
3940,fund,,,Ellsworth Growth and Income Fund Ltd.,USA,NYSE American,,,nasdaq_trader_otherlisted,review
3946,fund,,,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
3947,fund,,,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
3950,fund,,,"The European Equity Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
3954,fund,,,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
3964,fund,,,Western Asset Global High Income Fund Inc Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
3979,fund,,,Western Asset Emerging Markets Debt Fund Inc Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
3981,fund,,,Templeton Emerging Markets Fund Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
3983,fund,,,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
3991,fund,,,Allspring Global Dividend Opportunity Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
