control_id,control,passed,detail
COPY_001,target_absent_before_creation,True,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
COPY_002,copyfile_executed,True,outputs\full_universe_source_acquisition\expanded_universe_candidate_asx_v2_20g.csv -> outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
COPY_003,target_exists_after_creation,True,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
COPY_004,target_sha_matches_source,True,target=892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127;source=892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
COPY_005,target_rows_match_source,True,target=42708;source=42708
COPY_006,target_schema_matches_source,True,columns=33
