source_id,artifact_id,signal,count,present
hkexnews_issuer_search,hkexnews_index_page,listed company,2,True
hkexnews_issuer_search,hkexnews_index_page,securities list,0,False
hkexnews_issuer_search,hkexnews_index_page,download,0,False
hkexnews_issuer_search,hkexnews_index_page,.csv,0,False
hkexnews_issuer_search,hkexnews_index_page,.xls,0,False
hkexnews_issuer_search,hkexnews_index_page,.xlsx,0,False
hkexnews_issuer_search,hkexnews_index_page,Market Search,0,False
hkexnews_issuer_search,hkexnews_index_page,HKEXnews,6,True
hkexnews_issuer_search,hkexnews_index_page,html_table_tags,0,False
hkexnews_issuer_search,hkexnews_index_page,anchor_tags,14,True
hkexnews_issuer_search,hkexnews_index_page,script_tags,17,True
hkexnews_issuer_search,hkexnews_index_page,form_tags,0,False
