dataset_role,path,rows,sha256_before,sha256_after,modified_in_v2_19r
active_canonical,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv,38287,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f,False
current_validated_candidate_before_hkex,outputs\full_universe_source_acquisition\expanded_universe_candidate_twse_tpex_v2_18g.csv,40996,05047f03058c6d3d200b70f5f6e28e313dd9a98018b8ac44ea449989773c3aa2,05047f03058c6d3d200b70f5f6e28e313dd9a98018b8ac44ea449989773c3aa2,False
hkex_expanded_candidate_validated,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,41392,3f864f1fc0196d9ec3b9ed1b2e8fa3f11c6a109933e0c07c212dc8e89d8b571c,3f864f1fc0196d9ec3b9ed1b2e8fa3f11c6a109933e0c07c212dc8e89d8b571c,False
