ticker,company_name,exchange,country,source_provider,source_file,instrument_type,instrument_scope,classification_confidence,classification_reason,sector,industry,market_cap,raw_symbol,raw_name,raw_exchange,raw_listing_market,route_id
ABOT,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,ABOT,,,,cboe_us_equities_symbols_traded_downloaded
ABUF,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,ABUF,,,,cboe_us_equities_symbols_traded_downloaded
ABXB,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,ABXB,,,,cboe_us_equities_symbols_traded_downloaded
ACIO,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,ACIO,,,,cboe_us_equities_symbols_traded_downloaded
ACSG,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,ACSG,,,,cboe_us_equities_symbols_traded_downloaded
ACSI,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,ACSI,,,,cboe_us_equities_symbols_traded_downloaded
ACSV,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,ACSV,,,,cboe_us_equities_symbols_traded_downloaded
ACWV,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,ACWV,,,,cboe_us_equities_symbols_traded_downloaded
ADFI,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,ADFI,,,,cboe_us_equities_symbols_traded_downloaded
ADME,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,ADME,,,,cboe_us_equities_symbols_traded_downloaded
AEMS,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AEMS,,,,cboe_us_equities_symbols_traded_downloaded
AESR,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AESR,,,,cboe_us_equities_symbols_traded_downloaded
AFIF,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AFIF,,,,cboe_us_equities_symbols_traded_downloaded
AFRU,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AFRU,,,,cboe_us_equities_symbols_traded_downloaded
AIOO,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AIOO,,,,cboe_us_equities_symbols_traded_downloaded
AJAN,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AJAN,,,,cboe_us_equities_symbols_traded_downloaded
AJUL,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AJUL,,,,cboe_us_equities_symbols_traded_downloaded
