source_id,artifact_id,link_order,link_type,label,url,host,official_scope_allowed,looks_download,looks_candidate_related
hkex_market_search_listing_result,hkex_market_search_listing_result_page,67,anchor,CCP Disclosures,https://www.hkex.com.hk/Services/Clearing/Securities/CCP-Disclosures?sc_lang=en,www.hkex.com.hk,True,False,True
hkex_market_search_listing_result,hkex_market_search_listing_result_page,69,anchor,Overview,https://www.hkex.com.hk/Services/Clearing/Listed-Derivatives/Overview?sc_lang=en,www.hkex.com.hk,True,False,True
hkex_market_search_listing_result,hkex_market_search_listing_result_page,70,anchor,Infrastructure,https://www.hkex.com.hk/Services/Clearing/Listed-Derivatives/Infrastructure?sc_lang=en,www.hkex.com.hk,True,False,True
hkex_market_search_listing_result,hkex_market_search_listing_result_page,71,anchor,Risk Management,https://www.hkex.com.hk/Services/Clearing/Listed-Derivatives/Risk-Management?sc_lang=en,www.hkex.com.hk,True,False,True
hkex_market_search_listing_result,hkex_market_search_listing_result_page,72,anchor,CCP Disclosures,https://www.hkex.com.hk/Services/Clearing/Listed-Derivatives/CCP-Disclosures?sc_lang=en,www.hkex.com.hk,True,False,True
hkex_market_search_listing_result,hkex_market_search_listing_result_page,74,anchor,Overview,https://www.hkex.com.hk/Services/Clearing/OTC-Clear/Overview/Clearing-Services?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,75,anchor,Infrastructure,https://www.hkex.com.hk/Services/Clearing/OTC-Clear/Infrastructure?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,76,anchor,Risk Management,https://www.hkex.com.hk/Services/Clearing/OTC-Clear/Risk-Management?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,77,anchor,CCP Disclosures,https://www.hkex.com.hk/Services/Clearing/OTC-Clear/CCP-Disclosures?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,79,anchor,Settlement - Securities,https://www.hkex.com.hk/Services/Settlement-and-Depository/Settlement?sc_lang=en,www.hkex.com.hk,True,False,True
hkex_market_search_listing_result,hkex_market_search_listing_result_page,80,anchor,Depository,https://www.hkex.com.hk/Services/Settlement-and-Depository/Depository?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,81,anchor,Uncertificated Securities Market,https://www.hkex.com.hk/Services/Settlement-and-Depository/USM?sc_lang=en,www.hkex.com.hk,True,False,True
hkex_market_search_listing_result,hkex_market_search_listing_result_page,82,anchor,Common Nominee Services,https://www.hkex.com.hk/Services/Settlement-and-Depository/Common-Nominee-Services?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,83,anchor,Securities Admission into CCASS,https://www.hkex.com.hk/Services/Settlement-and-Depository/Securities-Admission-into-CCASS?sc_lang=en,www.hkex.com.hk,True,False,True
hkex_market_search_listing_result,hkex_market_search_listing_result_page,85,anchor,Unclaimed Entitlements Held by HKSCC Nominees Limited,https://www.hkex.com.hk/Services/Settlement-and-Depository/Unclaimed-Entitlements-Held-by-HKSCC-Nominees-Limited?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,87,anchor,Client Connect,https://www.hkex.com.hk/Services/Platform-Services/Client-Connect?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,88,anchor,Corporate Action Messaging Standardisation,https://www.hkex.com.hk/Services/Settlement-and-Depository/Common-Nominee-Services/Corporate-Action-Message-Standardisation-(CAMS)?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,89,anchor,FINI - A New Era for Hong Kong’s IPO market,https://www.hkex.com.hk/Services/Platform-Services/FINI?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,90,anchor,Orion Cash Platform,https://www.hkex.com.hk/Services/Platform-Services/Orion-Cash-Platform?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,91,anchor,Orion Derivatives Platform,https://www.hkex.com.hk/Services/Platform-Services/Orion-Derivatives-Platform?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,92,anchor,HKEX Issuer Access Platform,https://www.hkex.com.hk/Services/Platform-Services/Issuer-Access-Platform?sc_lang=en,www.hkex.com.hk,True,False,True
hkex_market_search_listing_result,hkex_market_search_listing_result_page,93,anchor,Integrated Fund Platform,https://www.hkex.com.hk/Services/Platform-Services/Integrated-Fund-Platform?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,94,anchor,Digital Payment Adoption for After-Hours Trading,https://www.hkex.com.hk/Services/Platform-Services/Digital-Payment-Adoption-for-After-Hours-Trading?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,95,anchor,Circulars & Notices,https://www.hkex.com.hk/Services/Circulars-and-Notices/Participant-and-Members-Circulars?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,96,anchor,Become a Participant,https://www.hkex.com.hk/Services/Become-a-Participant?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,97,anchor,HKEX Connect Hall,https://www.hkex.com.hk/Services/HKEX-Connect-Hall?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,98,anchor,Join Our Markets,https://www.hkex.com.hk/Join-Our-Market/IPO/Listing-with-HKEX?sc_lang=en,www.hkex.com.hk,True,False,False
hkex_market_search_listing_result,hkex_market_search_listing_result_page,101,anchor,GEM,https://www.hkex.com.hk/Join-Our-Market/IPO/GEM?sc_lang=en,www.hkex.com.hk,True,False,False
