candidate_url,source_raw_file,base_validation_score,matched_hints,proposed_use,priority,risk,allowed_in_next_phase
https://live.euronext.com/en/products/equities/trading-after-hours/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/products/equities/company-news,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/products/equities/company-news-archive,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/products/equities/tech-leaders,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/products/equities/listing-sponsors,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/amsterdam/equities-by-index/aex-index,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/amsterdam/equities-by-index/aex-esg,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/brussels/equities-by-index/bel20,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/brussels/equities/euronext/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/brussels/equities/growth/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/brussels/equities/access/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/brussels/equities/expert/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/dublin/equities-by-index/iseq20,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/dublin/equities/euronext/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/dublin/equities/growth/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/lisbon/equities-by-index/psi,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/lisbon/equities/euronext/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/lisbon/equities/access/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/milan/equities/euronext/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/milan/equities/growth/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/milan/equities/star/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/milan/equities/eurotlx/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/milan/equities/tah/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/milan/equities-by-index/mib-esg,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/oslo/equities-by-index/obx,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/oslo/equities/euronext/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/oslo/equities/growth/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/oslo/equities/expand/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/oslo/equities/company-news,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/oslo/equities/company-news-archive,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/oslo/equities/financial-events,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
