candidate_id,source_id,source_class,table_index,row_index,accepted_by_quality,quality_reason,title,symbol,isin,bvc_registered,rnve_registered,instrument_bucket
CO_SFC_VALORES_INSCRITOS_004_261_1_3,SFC_VALORES_INSCRITOS_004_261,registered_values_page,1,3,True,accepted_official_regulatory_bvc_registered_security,BO PEC 2DO TRAMO PROMIGAS S.A. E.S.P.,COI04CBBO067,COI04CBBO067,True,True,colombia_registered_bvc_security
CO_SFC_VALORES_INSCRITOS_004_261_1_4,SFC_VALORES_INSCRITOS_004_261,registered_values_page,1,4,True,accepted_official_regulatory_bvc_registered_security,BO PROMIGAS S.A. E.S.P - SEGUNDO MERCADO,COI04CBBO083,COI04CBBO083,True,True,colombia_registered_bvc_security
CO_SFC_VALORES_INSCRITOS_004_261_1_5,SFC_VALORES_INSCRITOS_004_261,registered_values_page,1,5,True,accepted_official_regulatory_bvc_registered_security,BO PROMIGAS S.A. E.S.P - SEGUNDO MERCADO,COI04CBBO091,COI04CBBO091,True,True,colombia_registered_bvc_security
CO_SFC_VALORES_INSCRITOS_004_261_1_6,SFC_VALORES_INSCRITOS_004_261,registered_values_page,1,6,True,accepted_official_regulatory_bvc_registered_security,BO PROMIGAS S.A. E.S.P.,COI04CBBO009,COI04CBBO009,True,True,colombia_registered_bvc_security
CO_SFC_VALORES_INSCRITOS_004_261_1_7,SFC_VALORES_INSCRITOS_004_261,registered_values_page,1,7,True,accepted_official_regulatory_bvc_registered_security,BO PROMIGAS S.A. E.S.P.,COI04CBBO033,COI04CBBO033,True,True,colombia_registered_bvc_security
CO_SFC_VALORES_INSCRITOS_004_261_1_8,SFC_VALORES_INSCRITOS_004_261,registered_values_page,1,8,True,accepted_official_regulatory_bvc_registered_security,BO PROMIGAS S.A. E.S.P.,COI04CBBO041,COI04CBBO041,True,True,colombia_registered_bvc_security
CO_SFC_VALORES_INSCRITOS_004_261_1_9,SFC_VALORES_INSCRITOS_004_261,registered_values_page,1,9,False,not_confirmed_as_bvc_registered,"BO PROMIGAS, SURTIGAS Y GASES DE OCCIDENTE (EMISIÓN SINDICADA) - SEGUNDO MERCADO",COI04CBBO075,COI04CBBO075,,,
CO_SFC_VALORES_INSCRITOS_004_261_1_10,SFC_VALORES_INSCRITOS_004_261,registered_values_page,1,10,True,accepted_official_regulatory_bvc_registered_security,PC PEC PROMIGAS S.A. E.S.P.,COI04CPPC014,COI04CPPC014,True,True,colombia_registered_bvc_security
CO_SFC_VALORES_INSCRITOS_050_261_1_1,SFC_VALORES_INSCRITOS_050_261,registered_values_page,1,1,True,accepted_official_regulatory_bvc_registered_security,AO CELSIA S.A. - ANTES CELSIA S.A. E.S.P.,COT60PAAO005,COT60PAAO005,True,True,colombia_registered_bvc_security
CO_SFC_VALORES_INSCRITOS_050_261_1_2,SFC_VALORES_INSCRITOS_050_261,registered_values_page,1,2,True,accepted_official_regulatory_bvc_registered_security,BONOS ORDINARIOS,COT60CBBO008,COT60CBBO008,True,True,colombia_registered_bvc_security
CO_SFC_PRECIO_ACCIONES_001_001_1_1,SFC_PRECIO_ACCIONES_001_001,equity_price_page,1,1,True,accepted_official_regulatory_bvc_registered_security,AO BANCO DE BOGOTA,COB01PAAO006,COB01PAAO006,True,False,colombia_equity_price_security
CO_SFC_PRECIO_ACCIONES_001_142_1_1,SFC_PRECIO_ACCIONES_001_142,equity_price_page,1,1,False,search_prompt_or_non_candidate_row,ADP PEC GRUPO AVAL ACCIONES Y VALORES,COT29PAAD012,COT29PAAD012,,,
CO_SFC_PRECIO_ACCIONES_001_142_1_2,SFC_PRECIO_ACCIONES_001_142,equity_price_page,1,2,False,search_prompt_or_non_candidate_row,AO PEC GRUPO AVAL ACCIONES Y VALORES S.A.,COT29PAAO001,COT29PAAO001,,,
CO_SFC_PRECIO_ACCIONES_002_023_1_1,SFC_PRECIO_ACCIONES_002_023,equity_price_page,1,1,True,accepted_official_regulatory_bvc_registered_security,AO ADM.DE FDOS.DE PENS.Y CES PROTECCION S.A.,COW19PAAO005,COW19PAAO005,True,False,colombia_equity_price_security
CO_SFC_PRECIO_ACCIONES_022_053_1_1,SFC_PRECIO_ACCIONES_022_053,equity_price_page,1,1,True,accepted_official_regulatory_bvc_registered_security,AO ORGANIZACION TERPEL S.A.,COG20PAAO006,COG20PAAO006,True,False,colombia_equity_price_security
