source_page_id,source_url,link_text,href,resolved_url,netloc,is_official,has_dataset_extension,has_dataset_keyword,candidate_reason,download_candidate
downloads_en,https://www.cashmarket.deutsche-boerse.com/cash-en/trading/Tradable-Instruments-Xetra/Downloads,IPO & Bell Ringing Ceremony,/cash-en/Get-Listed/IPO-Bell-Ringing-Ceremony,https://www.cashmarket.deutsche-boerse.com/cash-en/Get-Listed/IPO-Bell-Ringing-Ceremony,www.cashmarket.deutsche-boerse.com,True,False,False,official_domain,False
downloads_en,https://www.cashmarket.deutsche-boerse.com/cash-en/trading/Tradable-Instruments-Xetra/Downloads,Media Gallery,/cash-en/Get-Listed/IPO-Bell-Ringing-Ceremony/media-gallery,https://www.cashmarket.deutsche-boerse.com/cash-en/Get-Listed/IPO-Bell-Ringing-Ceremony/media-gallery,www.cashmarket.deutsche-boerse.com,True,False,False,official_domain,False
downloads_en,https://www.cashmarket.deutsche-boerse.com/cash-en/trading/Tradable-Instruments-Xetra/Downloads,Ring the Bell,/cash-en/Get-Listed/IPO-Bell-Ringing-Ceremony,https://www.cashmarket.deutsche-boerse.com/cash-en/Get-Listed/IPO-Bell-Ringing-Ceremony,www.cashmarket.deutsche-boerse.com,True,False,False,official_domain,False
downloads_en,https://www.cashmarket.deutsche-boerse.com/cash-en/trading/Tradable-Instruments-Xetra/Downloads,More,/cash-en/Get-Listed/IPO-Bell-Ringing-Ceremony,https://www.cashmarket.deutsche-boerse.com/cash-en/Get-Listed/IPO-Bell-Ringing-Ceremony,www.cashmarket.deutsche-boerse.com,True,False,False,official_domain,False
downloads_en,https://www.cashmarket.deutsche-boerse.com/cash-en/trading/Tradable-Instruments-Xetra/Downloads,Capital Market Partner,/cash-en/Get-Listed/capital-market-partner,https://www.cashmarket.deutsche-boerse.com/cash-en/Get-Listed/capital-market-partner,www.cashmarket.deutsche-boerse.com,True,False,False,official_domain,False
downloads_en,https://www.cashmarket.deutsche-boerse.com/cash-en/trading/Tradable-Instruments-Xetra/Downloads,Contacts & Hotlines,/cash-en/your-contacts,https://www.cashmarket.deutsche-boerse.com/cash-en/your-contacts,www.cashmarket.deutsche-boerse.com,True,False,False,official_domain,False
downloads_en,https://www.cashmarket.deutsche-boerse.com/cash-en/trading/Tradable-Instruments-Xetra/Downloads,Overview,/cash-en/Being-Public/Overview,https://www.cashmarket.deutsche-boerse.com/cash-en/Being-Public/Overview,www.cashmarket.deutsche-boerse.com,True,False,False,official_domain,False
downloads_en,https://www.cashmarket.deutsche-boerse.com/cash-en/trading/Tradable-Instruments-Xetra/Downloads,Issuer Services,/cash-en/Being-Public/Issuer-Services,https://www.cashmarket.deutsche-boerse.com/cash-en/Being-Public/Issuer-Services,www.cashmarket.deutsche-boerse.com,True,False,False,official_domain,False
downloads_en,https://www.cashmarket.deutsche-boerse.com/cash-en/trading/Tradable-Instruments-Xetra/Downloads,Data & Webservices,/cash-en/Being-Public/Issuer-Services/Data-Webservices,https://www.cashmarket.deutsche-boerse.com/cash-en/Being-Public/Issuer-Services/Data-Webservices,www.cashmarket.deutsche-boerse.com,True,False,False,official_domain,False
downloads_en,https://www.cashmarket.deutsche-boerse.com/cash-en/trading/Tradable-Instruments-Xetra/Downloads,Events & Conferences,/cash-en/Being-Public/Issuer-Services/events,https://www.cashmarket.deutsche-boerse.com/cash-en/Being-Public/Issuer-Services/events,www.cashmarket.deutsche-boerse.com,True,False,False,official_domain,False
downloads_en,https://www.cashmarket.deutsche-boerse.com/cash-en/trading/Tradable-Instruments-Xetra/Downloads,Training,/cash-en/Being-Public/Issuer-Services/Training,https://www.cashmarket.deutsche-boerse.com/cash-en/Being-Public/Issuer-Services/Training,www.cashmarket.deutsche-boerse.com,True,False,False,official_domain,False
downloads_en,https://www.cashmarket.deutsche-boerse.com/cash-en/trading/Tradable-Instruments-Xetra/Downloads,Follow-up Obligations & Exchange Reporting System,/cash-en/Being-Public/Follow-up-Obligations-Exchange-Reporting-System,https://www.cashmarket.deutsche-boerse.com/cash-en/Being-Public/Follow-up-Obligations-Exchange-Reporting-System,www.cashmarket.deutsche-boerse.com,True,False,False,official_domain,False
