append_order,row_number_in_promoted_dataset,country_confirmed,country_code_confirmed,country_code_columns_present,exchange_confirmed,mic_confirmed,currency_confirmed,symbol_key,name_key,isin_key,source_columns_present
118,42826,True,True,0,True,True,True,0188,uzf,,7
119,42827,True,True,0,True,True,True,0505,dcru,,7
120,42828,True,True,0,True,True,True,0695,bai,,7
121,42829,True,True,0,True,True,True,0066,5so,,7
122,42830,True,True,0,True,True,True,0039,8yy,,7
123,42831,True,True,0,True,True,True,0785,egx,,7
124,42832,True,True,0,True,True,True,0315,mxnu,,7
125,42833,True,True,0,True,True,True,0545,menu,,7
126,42834,True,True,0,True,True,True,0270,bix,,7
127,42835,True,True,0,True,True,True,0410,emi,,7
128,42836,True,True,0,True,True,True,0008,r14,,7
129,42837,True,True,0,True,True,True,1470,s44,,7
130,42838,True,True,0,True,True,True,0350,bqd,,7
131,42839,True,True,0,True,True,True,0088,5rc,,7
132,42840,True,True,0,True,True,True,2400,9a4u,,7
133,42841,True,True,0,True,True,True,1440,f99,,7
134,42842,True,True,0,True,True,True,0116,5tj,,7
135,42843,True,True,0,True,True,True,0565,q5t,,7
136,42844,True,True,0,True,True,True,1080,o10,,7
137,42845,True,True,0,True,True,True,0215,bdu,,7
138,42846,True,True,0,True,True,True,0032,5f4,,7
139,42847,True,True,0,True,True,True,0225,aw9u,,7
140,42848,True,True,0,True,True,True,3700,eb5,,7
141,42849,True,True,0,True,True,True,1010,adn,,7
142,42850,True,True,0,True,True,True,0007,f10,,7
143,42851,True,True,0,True,True,True,2520,f03,,7
144,42852,True,True,0,True,True,True,0250,oaj,,7
145,42853,True,True,0,True,True,True,2220,j69u,,7
146,42854,True,True,0,True,True,True,0038,d8du,,7
147,42855,True,True,0,True,True,True,0099,f13,,7
148,42856,True,True,0,True,True,True,0645,508,,7
149,42857,True,True,0,True,True,True,0800,awk,,7
150,42858,True,True,0,True,True,True,0041,qs9,,7
151,42859,True,True,0,True,True,True,0057,5vp,,7
152,42860,True,True,0,True,True,True,1490,hgmd,,7
153,42861,True,True,0,True,True,True,0640,g13,,7
154,42862,True,True,0,True,True,True,0535,re4,,7
155,42863,True,True,0,True,True,True,0128,b73,,7
156,42864,True,True,0,True,True,True,1210,ayn,,7
157,42865,True,True,0,True,True,True,0155,geh,,7
158,42866,True,True,0,True,True,True,0590,g20,,7
159,42867,True,True,0,True,True,True,0125,s3n,,7
160,42868,True,True,0,True,True,True,22380,g07,,7
161,42869,True,True,0,True,True,True,0028,y06,,7
162,42870,True,True,0,True,True,True,0065,blu,,7
163,42871,True,True,0,True,True,True,0169,bdx,,7
164,42872,True,True,0,True,True,True,2290,f17,,7
165,42873,True,True,0,True,True,True,15860,h02,,7
166,42874,True,True,0,True,True,True,0345,1b1,,7
167,42875,True,True,0,True,True,True,0130,8a1,,7
168,42876,True,True,0,True,True,True,0615,5jk,,7
169,42877,True,True,0,True,True,True,0012,1l2,,7
170,42878,True,True,0,True,True,True,0100,5po,,7
171,42879,True,True,0,True,True,True,0390,avx,,7
172,42880,True,True,0,True,True,True,2050,h13,,7
173,42881,True,True,0,True,True,True,0295,j2t,,7
174,42882,True,True,0,True,True,True,0001,h20,,7
175,42883,True,True,0,True,True,True,0900,h30,,7
176,42884,True,True,0,True,True,True,0075,cto,,7
177,42885,True,True,0,True,True,True,3100,h22,,7
178,42886,True,True,0,True,True,True,8320,h78,,7
179,42887,True,True,0,True,True,True,0850,hhzd,,7
180,42888,True,True,0,True,True,True,0067,5ev,,7
181,42889,True,True,0,True,True,True,0720,h18,,7
182,42890,True,True,0,True,True,True,2090,h12,,7
183,42891,True,True,0,True,True,True,1660,bls,,7
184,42892,True,True,0,True,True,True,0190,ns8u,,7
185,42893,True,True,0,True,True,True,4690,h15,,7
186,42894,True,True,0,True,True,True,0740,chz,,7
187,42895,True,True,0,True,True,True,5270,hshd,,7
188,42896,True,True,0,True,True,True,0750,41b,,7
189,42897,True,True,0,True,True,True,0375,1j5,,7
190,42898,True,True,0,True,True,True,9050,aiy,,7
191,42899,True,True,0,True,True,True,0186,i49,,7
192,42900,True,True,0,True,True,True,2620,q0f,,7
193,42901,True,True,0,True,True,True,0355,5js,,7
194,42902,True,True,0,True,True,True,0965,its,,7
195,42903,True,True,0,True,True,True,0090,kuo,,7
196,42904,True,True,0,True,True,True,0185,ud1u,,7
197,42905,True,True,0,True,True,True,0660,i07,,7
198,42906,True,True,0,True,True,True,0074,5wf,,7
199,42907,True,True,0,True,True,True,0525,42c,,7
200,42908,True,True,0,True,True,True,28010,c07,,7
201,42909,True,True,0,True,True,True,0280,1j7,,7
202,42910,True,True,0,True,True,True,2020,hjdd,,7
203,42911,True,True,0,True,True,True,0570,1j4,,7
204,42912,True,True,0,True,True,True,0020,c8r,,7
205,42913,True,True,0,True,True,True,63300,j36,,7
206,42914,True,True,0,True,True,True,0022,nhd,,7
207,42915,True,True,0,True,True,True,0265,42r,,7
208,42916,True,True,0,True,True,True,0027,1a0,,7
209,42917,True,True,0,True,True,True,0122,5tt,,7
210,42918,True,True,0,True,True,True,11300,bn4,,7
211,42919,True,True,0,True,True,True,2210,ajbu,,7
212,42920,True,True,0,True,True,True,0890,k71u,,7
213,42921,True,True,0,True,True,True,0980,k03,,7
214,42922,True,True,0,True,True,True,0395,1d0,,7
215,42923,True,True,0,True,True,True,0160,kin,,7
216,42924,True,True,0,True,True,True,0048,554,,7
217,42925,True,True,0,True,True,True,0180,cmou,,7
218,42926,True,True,0,True,True,True,0080,5oc,,7
219,42927,True,True,0,True,True,True,0320,er0,,7
220,42928,True,True,0,True,True,True,1180,hlpd,,7
221,42929,True,True,0,True,True,True,0091,q0x,,7
222,42930,True,True,0,True,True,True,0575,41o,,7
223,42931,True,True,0,True,True,True,0790,bei,,7
224,42932,True,True,0,True,True,True,0440,lms,,7
225,42933,True,True,0,True,True,True,0081,env,,7
226,42934,True,True,0,True,True,True,0560,l19,,7
227,42935,True,True,0,True,True,True,0400,lcc,,7
228,42936,True,True,0,True,True,True,0046,5ua,,7
229,42937,True,True,0,True,True,True,0515,bkk,,7
230,42938,True,True,0,True,True,True,0037,1h8,,7
231,42939,True,True,0,True,True,True,0050,btou,,7
232,42940,True,True,0,True,True,True,1920,me8u,,7
233,42941,True,True,0,True,True,True,1190,m44u,,7
234,42942,True,True,0,True,True,True,0136,5ly,,7
235,42943,True,True,0,True,True,True,0052,z4d,,7
236,42944,True,True,0,True,True,True,0500,5ds,,7
237,42945,True,True,0,True,True,True,0076,sjy,,7
