artifact,path,rows,sha256,expected_rows,expected_sha,validated,role
promoted_canonical_operational_base,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv,42708,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127,42708,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127,True,operational_base_candidate
rollback_canonical_preserved,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv,38287,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f,38287,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f,True,rollback_reference
asx_validated_source,outputs\full_universe_source_acquisition\expanded_universe_candidate_asx_v2_20g.csv,42708,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127,42708,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127,True,immutable_source_reference
