ticker,company_name,exchange,country,source_provider,source_file,instrument_type,instrument_scope,classification_confidence,classification_reason,sector,industry,market_cap,raw_cik,raw_exchange,provider_precedence,merge_action,merge_reason,isin,currency,mic,source_version,source_url,hkex_category,hkex_subcategory,hkex_board_lot
1807,"WATANABE SATO CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1808,HASEKO Corporation,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1810,"MATSUI CONSTRUCTION CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1811,THE ZENITAKA CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1812,KAJIMA CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1813,Fudo Tetra Corporation,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1814,"DAISUE CONSTRUCTION CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1815,TEKKEN CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1820,"Nishimatsu Construction Co.,Ltd.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1822,DAIHO CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1826,"Sata Construction Co.,Ltd.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1827,NAKANO CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1828,TANABE ENGINEERING CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1833,OKUMURA CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1835,"TOTETSU KOGYO CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1840,"TSUCHIYA HOLDINGS CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1844,"OHMORI CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
