url,origin_type,official_scope_allowed,download_or_data_hint,selected_for_fetch,selection_reason,attrs
https://global.krx.co.kr/contents/GLB/02/0201/0201040208/GLB0201040208.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040208/GLB0201040208.jsp"", ""data-menu-id"": ""E0201040206""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040210/GLB0201040210.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040210/GLB0201040210.jsp"", ""data-menu-id"": ""E0201040210""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040211/GLB0201040211.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040211/GLB0201040211.jsp"", ""data-menu-id"": ""E0201040211""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040214/GLB0201040214.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040214/GLB0201040214.jsp"", ""data-menu-id"": ""E0201040214""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040301/GLB0201040301.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040301/GLB0201040301.jsp"", ""data-menu-id"": ""E02010403""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040401/GLB0201040401.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040401/GLB0201040401.jsp"", ""data-menu-id"": ""E02010404""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040402/GLB0201040402.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040402/GLB0201040402.jsp"", ""data-menu-id"": ""E0201040402""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040801/GLB0201040801.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040801/GLB0201040801.jsp"", ""data-menu-id"": ""E02010408""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040501/GLB0201040501.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040501/GLB0201040501.jsp"", ""data-menu-id"": ""E02010405""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040502/GLB0201040502.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040502/GLB0201040502.jsp"", ""data-menu-id"": ""E0201040502""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040503/GLB0201040503.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040503/GLB0201040503.jsp"", ""data-menu-id"": ""E0201040503""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040506/GLB0201040506.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040506/GLB0201040506.jsp"", ""data-menu-id"": ""E0201040506""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040504/GLB0201040504.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040504/GLB0201040504.jsp"", ""data-menu-id"": ""E0201040504""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040505/GLB0201040505.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040505/GLB0201040505.jsp"", ""data-menu-id"": ""E0201040505""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040601/GLB0201040601.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040601/GLB0201040601.jsp"", ""data-menu-id"": ""E02010406""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040602/GLB0201040602.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040602/GLB0201040602.jsp"", ""data-menu-id"": ""E0201040602""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040605/GLB0201040605.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040605/GLB0201040605.jsp"", ""data-menu-id"": ""E0201040605""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040603/GLB0201040603.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040603/GLB0201040603.jsp"", ""data-menu-id"": ""E0201040603""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040604/GLB0201040604.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040604/GLB0201040604.jsp"", ""data-menu-id"": ""E0201040604""}"
