source_provider,rows
cboe_europe_reference_data,21154
nasdaq_trader_nasdaqlisted,3244
hkex_securities_list,2804
nasdaq_trader_otherlisted,2404
sec_company_tickers_exchange,2359
cboe_listed_symbols,1193
