row_number,ticker,exchange,source_provider,changed_field_count,metadata_backfill_status,original_country,proposed_country,country_rule_id,original_mic,proposed_mic,mic_rule_id,original_currency,proposed_currency,currency_rule_id,original_asset_type,proposed_asset_type,asset_type_rule_id,original_instrument_type,proposed_instrument_type,instrument_type_rule_id,original_instrument_scope,proposed_instrument_scope,instrument_scope_rule_id
23928,FEMSz,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23929,FEMUl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23930,FENERy,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23931,FENl,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23932,FEPl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23933,FEQPl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23934,FERROs,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23935,FESDd,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23936,FESEd,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23937,FESTIr,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23938,FEUDl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23939,FEUIl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23940,FEURz,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23941,FEUZl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23942,FEUZm,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23943,FEUZn,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23944,FEVd,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23945,FEXd,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23946,FEYEn,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23947,FEYd,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23948,FFGCd,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23949,FFGGd,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23950,FFIf,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23951,FFIw,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
