provider,rows
cboe_europe_reference_data,21154
jpx_listed_securities,3705
nasdaq_trader_nasdaqlisted,3244
hkex_securities_list,2804
nasdaq_trader_otherlisted,2404
sec_company_tickers_exchange,2359
deutsche_boerse_xetra_all_tradable_instruments,1424
cboe_listed_symbols,1193
