source_phase,provider,source_file,source_sheet,source_excel_row_number,asx_code,ticker,symbol,name,isin,security_group_code,product_description,last_price,business_date,instrument_class,include_decision,exclusion_reason,scope_confidence,context_match,duplicate_asx_code_in_extraction,duplicate_isin_in_extraction,raw_code_column,raw_name_column,raw_isin_column,raw_product_column
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12613,SRV,SRV.AX,SRV.AX,SERVCORP LIMITED,AU000000SRV5,EQY,ORDINARY FULLY PAID,6.56,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12620,SSM,SSM.AX,SSM.AX,SERVICE STREAM LIMITED,AU000000SSM2,EQY,ORDINARY FULLY PAID,2.65,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12621,SGH,SGH.AX,SGH.AX,SGH LIMITED,AU0000364754,EQY,ORDINARY FULLY PAID,46.64,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12623,SHA,SHA.AX,SHA.AX,SHAPE AUSTRALIA CORPORATION LIMITED,AU0000189292,EQY,ORDINARY FULLY PAID,7,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12625,SSG,SSG.AX,SSG.AX,SHAVER SHOP GROUP LIMITED,AU000000SSG4,EQY,ORDINARY FULLY PAID,1.36,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12627,SFX,SFX.AX,SFX.AX,SHEFFIELD RESOURCES LIMITED,AU000000SFX6,EQY,ORDINARY FULLY PAID,0.045,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12630,SHJ,SHJ.AX,SHJ.AX,SHINE JUSTICE LTD,AU000000SHJ1,EQY,ORDINARY FULLY PAID,0.595,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12639,SHM,SHM.AX,SHM.AX,SHRIRO HOLDINGS LIMITED,AU000000SHM5,EQY,ORDINARY FULLY PAID,0.725,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12641,SNX,SNX.AX,SNX.AX,SIERRA NEVADA GOLD INC.,AU0000211872,EQY,CDI 1:1 US PERSON PROHIBITED EXCLUDING QIB,0.07,30/06/2026,ordinary_or_equity_like_unclassified,include_candidate,three_character_asx_code_from_official_isin_source,medium,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12646,SSL,SSL.AX,SSL.AX,SIETEL LIMITED,AU000000SSL4,EQY,ORDINARY FULLY PAID,8.6,13/02/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
