artifact,path,rows,sha256,role
previous_operational_base_input,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv,42708,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127,input_only_unchanged
rollback_input,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv,38287,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f,input_only_unchanged
v2_21d_s_candidate_input,outputs\full_universe_source_acquisition\expanded_universe_v2_21d_s_singapore_candidate.csv,43066,8b6aa52eca0b7e5625aaeb8875d3806157fe30f7595cd698b5d0071ea2187c2f,promotion_candidate_input_unchanged
v2_21e_s_promoted_dataset_output,outputs\full_universe_source_acquisition\expanded_universe_v2_21e_s_singapore_promoted.csv,43066,8b6aa52eca0b7e5625aaeb8875d3806157fe30f7595cd698b5d0071ea2187c2f,promoted_artifact_not_active_pointer_update
v2_21e_s_pointer_manifest_output,outputs\full_universe_source_acquisition\singapore_promotion_freeze_decision_pointer_manifest_v2_21e_s.json,1,a771c6a7f89a89ecd1b5577a57eb6fab539e8f155315c225083dc7bae4ec65fe,promotion_pointer_manifest_no_existing_pointer_modified
