action_order,action_scope,action,allowed_in_v2_18c_fix,performed,result,http_status,raw_artifact_path,bytes,sha256,notes
1,all,prepare_repair_raw_output_directory,True,True,PASS,,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_repair_v2_18c_fix,,,repair raw output directory created
2,TWSE,download_repair_source:twse_ssl_repair_twse_openapi_swagger,True,True,PASS,200,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_repair_v2_18c_fix\twse_ssl_repair_twse_openapi_swagger_200.html,734,bb9928afd0ea8c12e124c42fef58fb080f36770389684badb2a4dcf548624eeb,downloaded_200 ssl_mode=unverified_ssl_fallback
3,TWSE,download_repair_source:twse_ssl_repair_twse_listed_company_profile,True,True,PASS,200,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_repair_v2_18c_fix\twse_ssl_repair_twse_listed_company_profile_200.json,1326081,fff4221fe3564e5759aff324b3afbd53abb59a3cacfa23f9650ad86aa0e39412,downloaded_200 ssl_mode=unverified_ssl_fallback
4,TWSE,download_repair_source:twse_ssl_repair_twse_stock_day_all,True,True,PASS,200,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_repair_v2_18c_fix\twse_ssl_repair_twse_stock_day_all_200.json,319038,046eb70557936dd6123ed3c9f410b43516a8e79d38c30590e91dd2ae0e9fb024,downloaded_200 ssl_mode=unverified_ssl_fallback
5,TWSE,download_repair_source:twse_ssl_repair_twse_latest_listed_companies,True,True,PASS,200,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_repair_v2_18c_fix\twse_ssl_repair_twse_latest_listed_companies_200.html,201704,08b1f2bbc2ffe5c9383a940ed204dc8fd4c7961383ed26854b89dc37b167cf80,downloaded_200 ssl_mode=unverified_ssl_fallback
6,TPEx,download_repair_source:tpex_openapi_swagger_json_repair,True,True,CAPTURED_ERROR,,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_repair_v2_18c_fix\tpex_openapi_swagger_json_repair_network_error_payload_captured.json,120,1d77f9d0d56c41625a5f35226b023935b53247e1ec09b492e2c5437cddbf38e6,network_error_payload_captured ssl_mode=default_verify
7,TPEx,download_repair_source:tpex_mainboard_daily_close_quotes_known_endpoint,True,True,CAPTURED_ERROR,,outputs\full_universe_source_acquisition\twse_tpex_raw_acquisition_repair_v2_18c_fix\tpex_mainboard_daily_close_quotes_known_endpoint_network_error_payload_captured.json,120,1d77f9d0d56c41625a5f35226b023935b53247e1ec09b492e2c5437cddbf38e6,network_error_payload_captured ssl_mode=default_verify
8,all,defer_candidate_extraction,False,True,PASS,,,,,candidate extraction remains blocked until repaired raw validation confirms row-data readiness
