sheet_name,row_number,stock_code_raw_text,name_of_securities,category,subcategory,isin,board_lot,currency,diagnostic_security_class
ListOfSecurities,175,00201,MAGNIFICENT,Equity,Equity Securities (Main Board),HK0201008726,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,176,00202,EVERCHINA INT'L,Equity,Equity Securities (Main Board),HK0000062734,"5,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,177,00204,CAPITAL REALM,Equity,Investment Companies,BMG2115B2053,"5,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,178,00205,BFB HEALTH,Equity,Equity Securities (Main Board),,"10,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,179,00206,CM-ENERGY,Equity,Equity Securities (Main Board),KYG2124A1076,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,180,00209,POLY XVERSE IT,Equity,Equity Securities (Main Board),BMG9723F1225,"10,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,181,00210,DAPHNE INT'L,Equity,Equity Securities (Main Board),KYG2830J1031,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,182,00211,STYLAND HOLD,Equity,Equity Securities (Main Board),BMG8540A3088,"10,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,183,00212,NANYANG HOLD,Equity,Equity Securities (Main Board),BMG6362N1011,500,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,184,00213,NATIONAL ELEC H,Equity,Equity Securities (Main Board),BMG6374F1041,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,185,00214,ASIA ORIENT,Equity,Equity Securities (Main Board),BMG0534H1189,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,186,00215,HUTCHTEL HK,Equity,Equity Securities (Main Board),KYG4672G1064,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,187,00216,CHINNEY INV,Equity,Equity Securities (Main Board),HK0216001088,"4,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,188,00217,CHINA CHENGTONG,Equity,Equity Securities (Main Board),HK0217012357,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,189,00218,SWHYHK,Equity,Equity Securities (Main Board),HK0218001102,"5,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,190,00219,SHUNHO PROPERTY,Equity,Equity Securities (Main Board),HK0219009344,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,191,00220,U-PRESID CHINA,Equity,Equity Securities (Main Board),KYG9222R1065,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,192,00222,MIN XIN HOLD,Equity,Equity Securities (Main Board),HK0222001130,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,193,00223,ELIFE HLDGS,Equity,Equity Securities (Main Board),KYG3002T1195,"20,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,194,00224,PIONEER GLOBAL,Equity,Equity Securities (Main Board),BMG7098N1002,"4,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,195,00225,POKFULAM,Equity,Equity Securities (Main Board),HK0225001145,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,196,00227,FIRST SHANGHAI,Equity,Equity Securities (Main Board),HK0227001168,"8,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,197,00228,CHINA ENERGY,Equity,Equity Securities (Main Board),KYG2153W1116,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,198,00229,RAYMOND IND,Equity,Equity Securities (Main Board),HK0229001182,"5,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,199,00232,CON AERO TECH,Equity,Equity Securities (Main Board),BMG2381M1091,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,200,00234,NEW CENTURY GP,Equity,Equity Securities (Main Board),BMG644581396,"24,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,201,00235,CSC HOLDINGS,Equity,Equity Securities (Main Board),HK0235034623,"5,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,202,00236,SAN MIGUEL HK,Equity,Equity Securities (Main Board),HK0236001209,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,203,00237,SAFETY GODOWN,Equity,Equity Securities (Main Board),HK0000642089,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
