promotion_id,candidate_id,source_id,raw_symbol,raw_name,raw_exchange,raw_series,raw_isin,confidence_bucket,review_required,net_new_bucket,promoted_to_candidate_dataset,expanded_candidate_row_index,promotion_policy,promotion_notes
4d4a374f0758d18e,1dc34b101017e3ba,nse_securities_available_equity_segment,DCMFINSERV,DCM Financial Services Limited,NSE,EQ,INE891B01012,high,False,potential_net_new_high,True,38731,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
65759ba3a5b66830,2a1850acd8d9497c,nse_securities_available_equity_segment,DCMSHRIRAM,DCM Shriram Limited,NSE,EQ,INE499A01024,high,False,potential_net_new_high,True,38732,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
e5f689de8f5b5663,03d4b6420f2d28a9,nse_securities_available_equity_segment,DCMSRIND,DCM Shriram Industries Limited,NSE,EQ,INE843D01027,high,False,potential_net_new_high,True,38733,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
41e1775f98a46a59,c1ea12236fada894,nse_securities_available_equity_segment,DCW,DCW Limited,NSE,EQ,INE500A01029,high,False,potential_net_new_high,True,38734,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
806c94d1813ae064,8e96637be2c59b36,nse_securities_available_equity_segment,DCXINDIA,DCX Systems Limited,NSE,EQ,INE0KL801015,high,False,potential_net_new_high,True,38735,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
393a6e031f67a868,d460a7e21030bfed,nse_securities_available_equity_segment,DDEVPLSTIK,Ddev Plastiks Industries Limited,NSE,EQ,INE0HR601026,high,False,potential_net_new_high,True,38736,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
9d1ea077c88dff88,914bbbbee7795f1a,nse_securities_available_equity_segment,DECCANCE,Deccan Cements Limited,NSE,EQ,INE583C01021,high,False,potential_net_new_high,True,38737,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
f291bf64c6efca11,39fd56e767690537,nse_securities_available_equity_segment,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,NSE,EQ,INE501A01019,high,False,potential_net_new_high,True,38738,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
ad64d339ae28c6e4,3999f4eb9ff8ca56,nse_securities_available_equity_segment,DEEPAKNTR,Deepak Nitrite Limited,NSE,EQ,INE288B01029,high,False,potential_net_new_high,True,38739,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
f6020cbc448c5f66,cdae7297d928e7f9,nse_securities_available_equity_segment,DEEPINDS,Deep Industries Limited,NSE,EQ,INE0FHS01024,high,False,potential_net_new_high,True,38740,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
