source_id,sample_order,sample_kind,sample_payload
SFC_VALORES_INSCRITOS_007_001,11,html_table_row,"{""Nombre del título"": ""BO SUBORDINADO 1A. EMISIÓN PEC BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBS174"", ""No. Emisión"": ""201805"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""RNVE"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""08/05/2018"", ""Inscrito BVC Fecha"": ""N/A"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AA""}"
SFC_VALORES_INSCRITOS_007_001,12,html_table_row,"{""Nombre del título"": ""BO SUBORDINADO BANCOLOMBIA S.A. - SEGUNDO MERCADO"", ""Código ANN"": ""COB07CBBS223"", ""No. Emisión"": ""202604"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""RNVE"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""16/04/2026"", ""Inscrito BVC Fecha"": ""N/A"", ""Monto Autorizado"": ""1.000.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_007_001,13,html_table_row,"{""Nombre del título"": ""BO SUBORDINADOS MSE 1. TRAMO BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBO049"", ""No. Emisión"": ""200902"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""06/02/2009"", ""Inscrito BVC Fecha"": ""27/02/2009"", ""Monto Autorizado"": ""400.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AA+""}"
SFC_VALORES_INSCRITOS_007_001,14,html_table_row,"{""Nombre del título"": ""BO. SUBORDINADO 1A. EMIS PEC BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBO156"", ""No. Emisión"": ""201207"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""01/06/2012"", ""Inscrito BVC Fecha"": ""16/09/2014"", ""Monto Autorizado"": ""1.000.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AA""}"
SFC_VALORES_INSCRITOS_007_001,15,html_table_row,"{""Nombre del título"": ""CDAT BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CDCT019"", ""No. Emisión"": ""199706"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""RNVE"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""05/06/1997"", ""Inscrito BVC Fecha"": ""N/A"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""N/A"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_007_001,16,html_table_row,"{""Nombre del título"": ""CDT BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CDCD012"", ""No. Emisión"": ""198908"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""22/08/1989"", ""Inscrito BVC Fecha"": ""22/08/1989"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""N/A"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_007_001,17,html_table_row,"{""Nombre del título"": ""CDT COMERCIA S.A. CIA. FIN. CIAL. ANTES FACTORING BANCOLOMBIA H"", ""Código ANN"": ""COJ07CDCD008"", ""No. Emisión"": ""199001"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""26/01/1990"", ""Inscrito BVC Fecha"": ""26/01/1990"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""N/A"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_007_001,18,html_table_row,"{""Nombre del título"": ""CDT LEASING COLOMBIA S.A. CIA. DE FIN. CIAL. HOY BANCOLOMBIA"", ""Código ANN"": ""COJ49CDCD000"", ""No. Emisión"": ""199310"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""12/10/1993"", ""Inscrito BVC Fecha"": ""12/10/1993"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""N/A"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_004_261,1,html_table_row,"{""Nombre del título"": ""AO PROMIGAS S.A. E.S.P."", ""Código ANN"": ""COI04PAAO006"", ""No. Emisión"": ""198309"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""212"", ""Inscrito RNVE Fecha"": ""30/09/1983"", ""Inscrito BVC Fecha"": ""30/09/1983"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""N/A"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_004_261,2,html_table_row,"{""Nombre del título"": ""BO PEC 1ER TRAMO PROMIGAS S.. S.A. E.S.P."", ""Código ANN"": ""COI04CBBO059"", ""No. Emisión"": ""201608"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""1076"", ""Inscrito RNVE Fecha"": ""24/08/2016"", ""Inscrito BVC Fecha"": ""05/09/2016"", ""Monto Autorizado"": ""500.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AAA""}"
SFC_VALORES_INSCRITOS_004_261,3,html_table_row,"{""Nombre del título"": ""BO PEC 2DO TRAMO PROMIGAS S.A. E.S.P."", ""Código ANN"": ""COI04CBBO067"", ""No. Emisión"": ""201608"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""12/11/2020"", ""Inscrito BVC Fecha"": ""03/11/2020"", ""Monto Autorizado"": ""600.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_004_261,4,html_table_row,"{""Nombre del título"": ""BO PROMIGAS S.A. E.S.P - SEGUNDO MERCADO"", ""Código ANN"": ""COI04CBBO083"", ""No. Emisión"": ""202412"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""05/12/2024"", ""Inscrito BVC Fecha"": ""17/12/2024"", ""Monto Autorizado"": ""450.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_004_261,5,html_table_row,"{""Nombre del título"": ""BO PROMIGAS S.A. E.S.P - SEGUNDO MERCADO"", ""Código ANN"": ""COI04CBBO091"", ""No. Emisión"": ""202507"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""16/07/2025"", ""Inscrito BVC Fecha"": ""29/07/2025"", ""Monto Autorizado"": ""350.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_004_261,6,html_table_row,"{""Nombre del título"": ""BO PROMIGAS S.A. E.S.P."", ""Código ANN"": ""COI04CBBO009"", ""No. Emisión"": ""200108"", ""Tipo Inscripción"": ""ANT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""588"", ""Inscrito RNVE Fecha"": ""17/08/2001"", ""Inscrito BVC Fecha"": ""23/08/2001"", ""Monto Autorizado"": ""200.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""VARIAS""}"
