asset_id,ticker,exchange,company_name,cik,sec_entity_name,sic,fiscal_year_end,sec_ticker,sec_exchange,identity_status,review_reason,evidence_source,submissions_available,companyfacts_available,basic_concepts_available,evidence_hash,phase
U04674,MS$F,NYSE,Morgan Stanley Dep Shs Rpstg 1/1000th Int Prd Ser F Fxd to Flag,,,,,,,US_SEC_CIK_MISSING,ticker not found in SEC company_tickers_exchange cache,SEC company_tickers_exchange cache,false,false,0,58d150c64f6de0c507e8427be9b80c55016cf09228015108d488e13152555187,v2.38D
U04676,MSB,NYSE,Mesabi Trust Common Stock,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,8f43b0aa54d4e2e1e8a070a5c7e2f4bf7dec753d87018d09dd8687dc6d265135,v2.38D
U04678,MSD,NYSE,"Morgan Stanley Emerging Markets Debt Fund, Inc. Common Stock",,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,c77bdae706bb4c2d6d30435d3b7354629a6b3474b03836a07d645209ed16d1c7,v2.38D
U04679,MSDL,NYSE,Morgan Stanley Direct Lending Fund Common Stock,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,e1b49ae8a775ce8ebb2efa728c05043925fb11d6b853f70dfb33570ebf11ac7a,v2.38D
U04683,MSIF,NYSE,"MSC Income Fund, Inc. Common Stock",,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,b9d0da2d667ed25fe90d1af82fc982fdef5be8dee5230c6f808864c02b72654f,v2.38D
U04688,MTAL,NYSE,Metals Acquisition Corp. II Class A Ordinary Shares,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,f6090321463a141c0f4d272a8d87b00e93dc92917036a9899f150e46ef18bfaa,v2.38D
U04697,MTR,NYSE,Mesa Royalty Trust Common Stock,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,f00058d5f1f6ffd7598f5e134fbecee4ad55fbd783541a478117214732495e78,v2.38D
U04703,MUA,NYSE,"Blackrock MuniAssets Fund, Inc Common Stock",,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,b9b21d2e797b0f4963b8b16997736fdfdec578bf647ebdf9eadc8f6746b195bd,v2.38D
U04704,MUC,NYSE,"Blackrock MuniHoldings California Quality Fund, Inc. Common Stock",,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,dd0f011f0ae016a29babdb4f6726a01d3ed21dc72d85919e10e502927028e1bd,v2.38D
U04706,MUJ,NYSE,"Blackrock MuniHoldings New Jersey Quality Fund, Inc. Common Stock",,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,ef72d16b53802333fed193ccf19e99cda7064041e8a3023dc7ea07eca379e16e,v2.38D
U04714,MXE,NYSE,"Mexico Equity and Income Fund, Inc. (The) Common Stock",,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,3f7a94d68fb783358b600d41cbb5e41bf96422c2013f61fe37688d5b393ea8aa,v2.38D
U04715,MXF,NYSE,"Mexico Fund, Inc. (The) Common Stock",,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,f50ce24c08d196559fffc24d3b907406f1c6d2de7b0a5121bc1e556a50acaf02,v2.38D
U04717,MYI,NYSE,"Blackrock MuniYield Quality Fund III, Inc Common Stock",,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,4d0b74d11e2007b925415b25b967e40fa9e29072e4e3528cfd1e28fd77faff1e,v2.38D
U04718,MYN,NYSE,"Blackrock MuniYield New York Quality Fund, Inc.Common Stock",,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,a05ad7117410b9bae86d4bb249dd0a5663cf1ace791cc57f63f7217332712142,v2.38D
U04720,MZYX,NYSE,MOZAYYX Acquisition Corp. Class A Ordinary Shares,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,eeeec1ff31e26cfc476e06406780393b1fc818e6d185382ee4a5813c61bca42e,v2.38D
