ticker,name,exchange,country,region,currency,sector,industry,asset_type,is_active,market_cap,price,avg_volume_30d,avg_volume_90d,data_source,last_updated,isin,figi,cusip,ipo_date,shares_outstanding,free_float,primary_listing,adr_flag,otc_flag,etf_flag,fund_flag,preferred_flag,warrant_flag,spac_flag,duplicate_group,dollar_volume_90d,universe_validation_status,universe_validation_date,stage1_status,stage1_primary_reason,stage1_all_reasons,yf_success,yf_error,financial_data_date,quote_type,sector_yf,industry_yf,country_yf,revenue_ttm,operating_margin,fcf_margin,net_debt_to_ebitda,shares_dilution_3y,revenue_growth_1y,gross_margin,net_margin,ebitda,free_cash_flow,total_debt,cash,net_debt,debt_to_equity,current_ratio,interest_coverage,pe_ratio,forward_pe,ev_ebitda,price_sales,fcf_yield,shares_outstanding_fund,float_shares,market_cap_yf,special_case,data_completeness_score,revenue_growth_3y,stage2_status,stage2_primary_reason,stage2_all_reasons,price_change_6m,price_change_12m,relative_strength_6m,drawdown_from_52w_high,business_quality_score,financial_health_score,growth_score,valuation_score,risk_score,moat_proxy_score,momentum_score,liquidity_score,data_quality_score,final_stage3_score,stage3_status,stage3_category,stage3_primary_reason,stage3_all_reasons
AUPH,Aurinia Pharmaceuticals Inc - Common Shares,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,2037050496.0,15.84,1184433.0,1184433.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,18761418.72,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,Canada,298295008.0,0.53306997,0.417816231105014,-2.016003955449152,,0.244,0.78266996,0.99973,153712000.0,124632496.0,68640000.0,378524000.0,-309884000.0,12.092,5.548,,7.2499995,14.007155,11.086,6.7513776,0.0618860714809842,128601671.0,126239258.0,2013902208.0,none,92.31,,PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,,,,,10.0,5.0,4.9,7.62,0.32,7.5,5.0,3.69,8.46,70.83,PASSED,🟢 Candidata fuerte para scouting,,
BZ,KANZHUN LIMITED - American Depository Shares,NASDAQ,USA,North America,USD,Communication Services,Internet Content & Information,common_stock,True,6322262016.0,14.03,4379411.0,4379411.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,61443136.33,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Communication Services,Internet Content & Information,China,8413032960.0,0.30145,0.4818695321027246,-6.043658557264601,,0.076,0.85468,0.40103,3371167744.0,4053984256.0,123596000.0,20497782784.0,-20374186784.0,0.602,4.328,,12.858491,9.337526,-2.293,0.7293738,0.6606619771369783,386938235.0,738471402.0,6136245760.0,none,92.31,,PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,,,,,9.65,5.0,2.1,9.73,0.32,7.1,5.0,10.0,8.46,68.5,PASSED,🟡 Interesante con condiciones,,
ADBE,Adobe Inc. - Common Stock,NASDAQ,USA,North America,USD,Technology,Software - Application,common_stock,True,101632049152.0,251.44,5571100.0,5571100.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,1400797384.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Technology,Software - Application,United States,24452999168.0,0.38762,0.3811955603465712,-0.0240646988061619,,0.12,0.89396006,0.29477,9516000256.0,9321374720.0,6670000128.0,6898999808.0,-228999680.0,58.34,0.912,,14.285131,9.249366,10.382,4.049604,0.0941315661769912,404200000.0,402963148.0,99024961536.0,none,92.31,,PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,,,,,9.96,2.73,2.83,8.77,0.32,7.5,5.0,10.0,8.46,65.97,PASSED,🟡 Interesante con condiciones,,
ADEA,Adeia Inc.  - Common Stock,NASDAQ,USA,North America,USD,Technology,Software - Application,common_stock,True,3196312832.0,28.98,1697325.0,1697325.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,49188478.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Technology,Software - Application,United States,460488000.0,0.38946,0.3724320633762443,1.0453972486259526,,0.195,1.0,0.26501,272240992.0,171500496.0,400361984.0,115762000.0,284599984.0,85.81,3.445,,28.944952,20.377846,13.827,7.556696,0.0492850401126534,110293749.0,107707361.0,3479767808.0,none,92.31,,PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,,,,,9.71,4.48,4.08,5.47,0.76,7.5,5.0,9.84,8.46,64.8,PASSED,🟡 Interesante con condiciones,,
AUGO,Aura Minerals Inc. - Common Shares,NASDAQ,USA,North America,USD,Basic Materials,Gold,common_stock,True,5043400192.0,60.4,948242.0,948242.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,57273816.8,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Basic Materials,Gold,United States,1142535040.0,0.52911,0.3599284622377971,0.233759085909777,,1.365,0.59978,0.07796,695019008.0,411230880.0,430256000.0,267788992.0,162467008.0,142.535,0.981,,52.392857,4.3117323,7.308,4.288516,0.0839284359589349,83500000.0,40052925.0,4899780096.0,none,92.31,,PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,,,,,7.65,2.76,5.0,6.54,0.42,6.75,5.0,10.0,8.46,60.12,PASSED,🟡 Interesante con condiciones,,
ATAT,Atour Lifestyle Holdings Limited - American Depositary Shares,NASDAQ,USA,North America,USD,Consumer Cyclical,Lodging,common_stock,True,4618174464.0,33.42,1261206.0,1261206.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,42149504.52,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Consumer Cyclical,Lodging,China,10695585792.0,0.23583001,0.1792577660808501,-1.6098139894322574,,0.475,0.44162998,0.17219,2725323008.0,1917266816.0,1369646976.0,5756910080.0,-4387263104.0,37.22,2.172,,16.984615,12.235996,3.389,0.42790723,0.4189173716282635,111482890.0,221393032.0,4576718336.0,none,92.31,,PASSED,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,MISSING_SHARES_DILUTION_PROVIDER_LIMITATION,,,,,5.82,5.0,5.0,9.5,0.45,4.0,5.0,8.41,8.46,60.12,PASSED,🟡 Interesante con condiciones,,
